task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
824.266531, 289.0, 461474419.0, 5739077.0, 7500640.0, 17180594.0, 1544442584.0, 15317.0, 289.0, 793652731.0, 375.0, 2180008774.0, 2447000.0, 690704718.0, 327173534.0, 1351296.0, 23640650.0, 676258608.0, 330429021.0, 15788444.0, 1620178.0, 100943, 3220.43 
833.035988, 312.0, 559273464.0, 7078923.0, 7916195.0, 18447838.0, 1724104250.0, 16325.0, 312.0, 813349836.0, 411.0, 2371890279.0, 2677759.0, 781741093.0, 295987336.0, 1547029.0, 25355519.0, 521109319.0, 334620309.0, 14387549.0, 1624549.0, 119178, 3748.6 
840.030844, 310.0, 383866910.0, 5714311.0, 3952435.0, 14689928.0, 1623764885.0, 14017.0, 310.0, 818191977.0, 504.0, 2262792542.0, 2138360.0, 629011103.0, 334535849.0, 1238987.0, 20981789.0, 541735555.0, 296009505.0, 17662611.0, 1630694.0, 151136, 3591.44 
793.945566, 278.0, 450305637.0, 6399802.0, 4244283.0, 16960570.0, 1703262321.0, 14125.0, 278.0, 760867441.0, 441.0, 2219627149.0, 2690558.0, 667125882.0, 300872686.0, 1650234.0, 20301277.0, 653055655.0, 312697323.0, 17424689.0, 1626333.0, 111388, 3181.34 
826.958125, 339.0, 553686452.0, 6926304.0, 4143834.0, 14104998.0, 1583742434.0, 16780.0, 339.0, 801616812.0, 444.0, 2213500598.0, 2454832.0, 571982384.0, 323386688.0, 1044198.0, 31618918.0, 776121400.0, 436318922.0, 20008694.0, 1629610.0, 123039, 3793.17 
1114.911136, 344.0, 726362824.0, 7680815.0, 7168170.0, 20845572.0, 2389197159.0, 24960.0, 344.0, 1092435902.0, 479.0, 3405666967.0, 4195614.0, 1034777524.0, 486758186.0, 2097903.0, 33980338.0, 837054020.0, 473773134.0, 27664364.0, 1624546.0, 417747, 14899.17 
814.600719, 194.0, 460555328.0, 7357473.0, 5047993.0, 14007125.0, 1663953847.0, 16602.0, 194.0, 815712904.0, 354.0, 2409135489.0, 2429312.0, 638576142.0, 368309056.0, 1737907.0, 21884134.0, 563268293.0, 355212353.0, 20659113.0, 1645511.0, 146891, 3440.92 
822.965311, 344.0, 506483775.0, 6667955.0, 4999436.0, 16676148.0, 1751633666.0, 16578.0, 344.0, 772919353.0, 536.0, 2493281104.0, 2504324.0, 652072774.0, 310232568.0, 1705280.0, 13618959.0, 667294299.0, 310580983.0, 18660522.0, 1620377.0, 136855, 4417.24 
859.607739, 314.0, 511843029.0, 7419733.0, 4998261.0, 16631632.0, 1667273628.0, 17006.0, 314.0, 857888410.0, 549.0, 2064753275.0, 2344211.0, 605802672.0, 313959352.0, 1449505.0, 25899049.0, 647033554.0, 348434786.0, 18210634.0, 1629378.0, 208894, 5541.84 
832.989079, 197.0, 497749412.0, 6401332.0, 4659002.0, 16934292.0, 1750139837.0, 16541.0, 197.0, 827748560.0, 443.0, 2538589863.0, 2963437.0, 769953005.0, 361339472.0, 1750698.0, 19714138.0, 738106724.0, 378719283.0, 18161183.0, 1645082.0, 121428, 5086.42 
