task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
559.485857, 186.0, 219205817.0, 4583356.0, 2929580.0, 9692319.0, 967379556.0, 10581.0, 186.0, 554771787.0, 317.0, 1051966924.0, 1499177.0, 324694995.0, 177646693.0, 1063321.0, 12849949.0, 340082705.0, 220169643.0, 11512803.0, 566888.0, 9422, 759.35 
565.886906, 185.0, 245681152.0, 6565374.0, 2992564.0, 10077435.0, 1090037793.0, 10532.0, 185.0, 574988887.0, 296.0, 1242618084.0, 1322396.0, 383671434.0, 198532107.0, 1330190.0, 11779577.0, 300405377.0, 211110644.0, 11781868.0, 585358.0, 3490, 578.53 
633.607624, 190.0, 321450715.0, 5851145.0, 5074316.0, 12708488.0, 1066118612.0, 14121.0, 190.0, 612171773.0, 321.0, 1207399698.0, 1724298.0, 447593206.0, 209358389.0, 1232894.0, 14718604.0, 486095305.0, 236343877.0, 15197575.0, 774152.0, 19162, 1038.47 
562.402226, 207.0, 248242046.0, 7673032.0, 2776384.0, 11824967.0, 1145062647.0, 11168.0, 207.0, 540065954.0, 329.0, 1164455668.0, 1274658.0, 345724572.0, 186998279.0, 1105959.0, 10173721.0, 306577737.0, 190321643.0, 12155935.0, 560172.0, 12721, 601.01 
645.95688, 213.0, 309794516.0, 5301265.0, 4310176.0, 12502435.0, 1297209393.0, 11885.0, 213.0, 631767546.0, 340.0, 1404375670.0, 1633306.0, 444537979.0, 259146185.0, 976024.0, 13699334.0, 388860523.0, 242625943.0, 14333783.0, 775995.0, 5944, 1240.15 
614.055665, 196.0, 213816515.0, 4631708.0, 3285528.0, 10575578.0, 1023034433.0, 10731.0, 196.0, 604099862.0, 300.0, 1179888935.0, 1539802.0, 420749412.0, 186109567.0, 1184845.0, 13433650.0, 346789430.0, 201267510.0, 12868020.0, 579163.0, 4219, 686.27 
560.315535, 191.0, 242168965.0, 6173455.0, 3280627.0, 11482490.0, 1129036900.0, 11071.0, 191.0, 561944352.0, 388.0, 1320026624.0, 1314260.0, 397217146.0, 185419295.0, 855339.0, 9900543.0, 287080347.0, 182188937.0, 11493024.0, 560183.0, 18049, 808.25 
541.11716, 195.0, 274721686.0, 7366178.0, 3910205.0, 12000008.0, 987289744.0, 11040.0, 195.0, 524327598.0, 320.0, 1077741448.0, 1660023.0, 318778405.0, 183922324.0, 1058519.0, 11479291.0, 348187797.0, 181740481.0, 11596007.0, 560144.0, 16059, 713.98 
624.376183, 201.0, 292618998.0, 5411647.0, 4189777.0, 13099701.0, 1287612661.0, 12252.0, 201.0, 608553565.0, 384.0, 1351628061.0, 1697228.0, 468129152.0, 213644710.0, 995562.0, 12920958.0, 414657341.0, 254837454.0, 11104917.0, 775213.0, 8042, 958.44 
619.365098, 226.0, 234853139.0, 5961763.0, 2813782.0, 10102786.0, 1035491353.0, 10793.0, 226.0, 597358960.0, 328.0, 1163503433.0, 1406663.0, 349686721.0, 197709112.0, 1266964.0, 9625880.0, 293501328.0, 186281460.0, 12049227.0, 560442.0, 9881, 666.76 
562.941475, 194.0, 207496088.0, 4298672.0, 2506218.0, 9794340.0, 1039025494.0, 10920.0, 194.0, 545028954.0, 305.0, 1131522075.0, 1668400.0, 345223711.0, 171930532.0, 898854.0, 15078544.0, 369892666.0, 223501303.0, 11912080.0, 560283.0, 8587, 621.89 
580.447527, 218.0, 247104567.0, 6884263.0, 3962678.0, 11786444.0, 919317605.0, 10786.0, 218.0, 569252795.0, 332.0, 1129294929.0, 1230456.0, 356860297.0, 179894644.0, 1157198.0, 13190418.0, 333388656.0, 184542228.0, 15022759.0, 567366.0, 15122, 687.49 
659.469792, 192.0, 300437763.0, 6433413.0, 5039020.0, 13583170.0, 1298391590.0, 13914.0, 192.0, 652650356.0, 341.0, 1668820303.0, 1712619.0, 490392677.0, 254935112.0, 1192293.0, 14781821.0, 419195537.0, 213697387.0, 15682182.0, 787220.0, 14734, 1838.38 
532.766976, 177.0, 228730906.0, 6194061.0, 2896557.0, 10196060.0, 902870037.0, 10965.0, 177.0, 508328419.0, 290.0, 1142680021.0, 1389871.0, 414099156.0, 173445949.0, 931373.0, 12331113.0, 388819539.0, 188240288.0, 16155800.0, 560143.0, 15307, 584.15 
620.69533, 188.0, 239034516.0, 6894740.0, 5088258.0, 12338483.0, 1174251932.0, 11112.0, 188.0, 612634829.0, 299.0, 1192188495.0, 1451350.0, 373323274.0, 188396501.0, 775656.0, 13297587.0, 370667345.0, 173048239.0, 20042148.0, 560960.0, 7829, 598.27 
