task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1148.325007, 359.0, 699805205.0, 7486844.0, 11641121.0, 24368620.0, 2434256471.0, 24219.0, 359.0, 1110470910.0, 433.0, 3662948471.0, 4037164.0, 1041469314.0, 455566565.0, 2204687.0, 30136114.0, 945142750.0, 514954869.0, 22424613.0, 2024644.0, 29845, 1034.35 
1054.638821, 288.0, 657884670.0, 7462546.0, 7428554.0, 23109885.0, 2332978570.0, 23581.0, 288.0, 1024727048.0, 458.0, 3439855136.0, 4040111.0, 945015017.0, 441744499.0, 2477315.0, 32377494.0, 942089312.0, 472579155.0, 22024788.0, 2025390.0, 14870, 913.83 
1185.265336, 332.0, 826347220.0, 9768472.0, 9527667.0, 27253204.0, 2436567352.0, 25120.0, 332.0, 1136274318.0, 444.0, 3333052964.0, 4063858.0, 923580587.0, 474546860.0, 2110405.0, 32796087.0, 946714258.0, 506352177.0, 23916445.0, 2034408.0, 54383, 1035.49 
1119.104075, 287.0, 771490811.0, 7638158.0, 7021070.0, 25745150.0, 2334788382.0, 22599.0, 287.0, 1058940805.0, 428.0, 2897399665.0, 3699899.0, 1008131296.0, 586559236.0, 2050535.0, 34147116.0, 967114040.0, 617735675.0, 31121840.0, 2025727.0, 39156, 968.68 
1107.543964, 344.0, 794213982.0, 8738538.0, 8589728.0, 25191962.0, 2243236289.0, 22081.0, 344.0, 1009647474.0, 431.0, 3185963308.0, 4203136.0, 916303519.0, 387907144.0, 2209297.0, 29369686.0, 839803314.0, 500521756.0, 26598538.0, 1899119.0, 19954, 913.33 
1196.317918, 305.0, 673807223.0, 7978860.0, 8876762.0, 24435921.0, 2293161544.0, 23774.0, 305.0, 1155887485.0, 443.0, 3283807878.0, 3660124.0, 1140171917.0, 552485499.0, 2805246.0, 33658154.0, 1005962476.0, 522722397.0, 23054323.0, 2034433.0, 24189, 997.53 
1111.685517, 348.0, 713878598.0, 9504146.0, 10093222.0, 26803403.0, 2604642412.0, 23159.0, 348.0, 1068659958.0, 589.0, 3780053028.0, 4455709.0, 960460419.0, 448978216.0, 2558482.0, 30464128.0, 1005233764.0, 582384006.0, 30193570.0, 2026888.0, 51586, 913.24 
1068.772056, 438.0, 699185201.0, 9083262.0, 7183446.0, 20470192.0, 2303630749.0, 23407.0, 438.0, 1004799814.0, 404.0, 3317370581.0, 3507858.0, 919272441.0, 525115501.0, 2488704.0, 34871704.0, 872913119.0, 514003365.0, 25537038.0, 2021677.0, 45620, 975.73 
1057.679753, 354.0, 578643705.0, 7363189.0, 6832520.0, 21021575.0, 2440966270.0, 21778.0, 354.0, 992862998.0, 407.0, 3703813266.0, 3771829.0, 1030403160.0, 538000672.0, 2495500.0, 29893144.0, 844603588.0, 435477238.0, 25349805.0, 1992541.0, 24660, 969.33 
1026.977738, 277.0, 732143925.0, 7330675.0, 7380727.0, 21922413.0, 2358990948.0, 21358.0, 277.0, 990010005.0, 407.0, 3441667569.0, 3774355.0, 903894387.0, 476482802.0, 2502104.0, 29582072.0, 888905180.0, 487015507.0, 26511285.0, 2032218.0, 30228, 982.47 
1126.625692, 287.0, 623698171.0, 8684661.0, 7625266.0, 21656559.0, 2506957391.0, 23794.0, 287.0, 1094068802.0, 470.0, 3666291968.0, 4031520.0, 950011173.0, 480889806.0, 2401943.0, 35753252.0, 937550556.0, 516367456.0, 25104154.0, 2022629.0, 27751, 911.75 
1024.722093, 277.0, 832545394.0, 7941059.0, 7216197.0, 24246694.0, 2324872934.0, 22726.0, 277.0, 998244930.0, 435.0, 3235395142.0, 4284619.0, 992207592.0, 430551764.0, 2509159.0, 34686893.0, 883166234.0, 469147478.0, 23623424.0, 2031379.0, 43485, 954.83 
1135.087503, 277.0, 639956612.0, 8631203.0, 8262570.0, 19797857.0, 2450743362.0, 23064.0, 277.0, 1103838694.0, 447.0, 3298545014.0, 3856011.0, 919793321.0, 471074323.0, 1969151.0, 32152957.0, 1087090565.0, 601453206.0, 26534470.0, 2028200.0, 40258, 865.63 
1081.164245, 351.0, 611244381.0, 8144201.0, 6801798.0, 23367858.0, 2584454023.0, 21875.0, 351.0, 1031507099.0, 431.0, 3516216382.0, 3438885.0, 823529878.0, 459373746.0, 1774353.0, 28786962.0, 923495532.0, 505990781.0, 28501270.0, 2007805.0, 44144, 890.77 
1135.342455, 313.0, 747149947.0, 7207088.0, 6107101.0, 20498857.0, 2306343743.0, 24301.0, 313.0, 1093724041.0, 420.0, 3277837026.0, 3682637.0, 920682912.0, 480394175.0, 2585332.0, 28397978.0, 842717793.0, 455981737.0, 23724103.0, 2028355.0, 22423, 897.04 
1215.381215, 346.0, 793251082.0, 8355514.0, 6363745.0, 25148806.0, 2585442855.0, 23296.0, 346.0, 1139478928.0, 471.0, 3273296674.0, 4082957.0, 913959811.0, 496607496.0, 2417275.0, 33145666.0, 940191926.0, 543238127.0, 29242412.0, 2012049.0, 38130, 996.91 
1106.462378, 319.0, 572071550.0, 8309275.0, 9009896.0, 19896140.0, 2394062754.0, 22104.0, 319.0, 1037351963.0, 553.0, 3496402506.0, 3605059.0, 1064124508.0, 559505209.0, 2573075.0, 28803730.0, 864373158.0, 447047053.0, 23075747.0, 2027201.0, 35047, 866.66 
1148.571997, 253.0, 648130172.0, 9612768.0, 9676597.0, 24420085.0, 2444895071.0, 32536.0, 253.0, 1122632807.0, 540.0, 3932319645.0, 4602484.0, 1069331221.0, 598550286.0, 2163506.0, 35969894.0, 941738740.0, 476377498.0, 28869125.0, 2030777.0, 15316, 915.88 
