task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1512.810627, 454.0, 1009739010.0, 9186260.0, 19395251.0, 50673076.0, 3323224110.0, 43353.0, 454.0, 1476674522.0, 669.0, 4003147065.0, 5621339.0, 1303637209.0, 605296418.0, 3835993.0, 71461734.0, 1426331052.0, 691798394.0, 34073570.0, 6221679.0, 27957, 1683.36 
1200.795314, 415.0, 718660755.0, 9659882.0, 8766675.0, 27702803.0, 2943487748.0, 42532.0, 415.0, 1131993838.0, 598.0, 3577132137.0, 5254951.0, 1017508950.0, 499602531.0, 3018039.0, 32647328.0, 1161247691.0, 634470102.0, 31966382.0, 4861417.0, 20085, 1448.88 
1586.743528, 430.0, 935292974.0, 11095418.0, 11074353.0, 33931529.0, 3809299217.0, 53846.0, 430.0, 1518776154.0, 721.0, 5025818537.0, 6779851.0, 1471679644.0, 613900072.0, 3162270.0, 55159010.0, 1302474093.0, 719919722.0, 43362973.0, 7493536.0, 47398, 2396.61 
1566.809006, 447.0, 834902027.0, 11027148.0, 14049662.0, 37467486.0, 3262031812.0, 50617.0, 447.0, 1505749591.0, 536.0, 4289369825.0, 6609569.0, 1448622110.0, 740739554.0, 3115998.0, 45316196.0, 1425837006.0, 696981323.0, 35092458.0, 7503559.0, 37950, 1463.12 
1537.401734, 574.0, 895323983.0, 8208592.0, 12859156.0, 31970051.0, 3318503263.0, 50730.0, 574.0, 1467885192.0, 582.0, 4017476782.0, 7679058.0, 1262159637.0, 727704966.0, 3604465.0, 49820848.0, 1523560432.0, 788829232.0, 36864235.0, 6641570.0, 20530, 1430.68 
1182.435139, 311.0, 688102900.0, 9756061.0, 7094972.0, 26939840.0, 2781350693.0, 40145.0, 311.0, 1146783965.0, 443.0, 3404365113.0, 5605763.0, 1178529973.0, 531110401.0, 2375906.0, 35405146.0, 955019363.0, 559634732.0, 29413893.0, 4539956.0, 20174, 1648.2 
1557.663842, 429.0, 994652943.0, 11275088.0, 14444709.0, 37201802.0, 3627049013.0, 52651.0, 429.0, 1510902681.0, 727.0, 4383956943.0, 7065188.0, 1366958387.0, 653161809.0, 3746322.0, 47327135.0, 1417769853.0, 700024991.0, 42630556.0, 7543824.0, 47932, 1487.25 
1495.535379, 467.0, 807335305.0, 11127321.0, 9434913.0, 29039437.0, 3400516097.0, 49984.0, 467.0, 1416177664.0, 529.0, 4182123944.0, 6589007.0, 1236833861.0, 625806262.0, 3218886.0, 43423597.0, 1384775342.0, 608565108.0, 39549653.0, 7537730.0, 45239, 1629.49 
1619.936224, 536.0, 1106587677.0, 9914819.0, 12284804.0, 37111489.0, 3815774928.0, 55092.0, 536.0, 1545722477.0, 590.0, 4674346982.0, 7837882.0, 1525726437.0, 739410952.0, 3550108.0, 50404309.0, 1510223713.0, 842239647.0, 38938193.0, 7507592.0, 25350, 1808.91 
1386.0043, 343.0, 883934249.0, 9507737.0, 13823521.0, 40393229.0, 2900153771.0, 46073.0, 343.0, 1363744849.0, 499.0, 3591923828.0, 5234067.0, 1360904487.0, 596455186.0, 2597428.0, 55691263.0, 1150022538.0, 595555700.0, 33464677.0, 7613645.0, 27626, 1404.85 
1359.676162, 535.0, 800024996.0, 10393985.0, 9660439.0, 32693185.0, 3150915477.0, 38916.0, 535.0, 1313211231.0, 559.0, 3900951046.0, 5712700.0, 1238631413.0, 592152511.0, 3010274.0, 54411390.0, 1159667404.0, 645396061.0, 41694281.0, 6283908.0, 28621, 1624.73 
1472.61846, 355.0, 1012807814.0, 10347273.0, 10280179.0, 32550199.0, 3377038929.0, 52561.0, 355.0, 1423751649.0, 528.0, 4900732347.0, 6465513.0, 1424708054.0, 700928780.0, 3022708.0, 52785718.0, 1303575515.0, 714404255.0, 45045969.0, 6196920.0, 40617, 1751.93 
1451.742853, 450.0, 884382695.0, 10820218.0, 9896830.0, 30277983.0, 3515743776.0, 48352.0, 450.0, 1373694491.0, 702.0, 4817012872.0, 6143863.0, 1396785447.0, 612149673.0, 3885577.0, 48943372.0, 1233041761.0, 675481673.0, 39334933.0, 6193519.0, 40826, 1664.83 
1462.069128, 512.0, 780580864.0, 8101991.0, 14055029.0, 32693623.0, 3242475627.0, 48102.0, 512.0, 1378407610.0, 493.0, 4193486072.0, 6858832.0, 1357709693.0, 667471456.0, 3990714.0, 44727707.0, 1234404278.0, 620100638.0, 42918919.0, 7626222.0, 41535, 1598.89 
1443.249545, 445.0, 940472963.0, 8548863.0, 14459763.0, 37600002.0, 3486349443.0, 50860.0, 445.0, 1418741425.0, 768.0, 4665422012.0, 7766968.0, 1312295698.0, 672892562.0, 2588623.0, 42534359.0, 1334607370.0, 690411115.0, 34989151.0, 7600561.0, 24399, 1969.57 
1630.517596, 447.0, 1083083972.0, 9214861.0, 12801079.0, 39813774.0, 3723727304.0, 56887.0, 447.0, 1599330733.0, 534.0, 4279869156.0, 6947412.0, 1328170252.0, 771755776.0, 4577665.0, 49702905.0, 1606527767.0, 872846236.0, 39786589.0, 7501065.0, 37903, 1775.17 
1360.594775, 339.0, 875916393.0, 9519926.0, 15474507.0, 32654714.0, 3144753750.0, 48387.0, 339.0, 1323349654.0, 418.0, 3882007153.0, 6066701.0, 1025144271.0, 560693349.0, 3158517.0, 42871404.0, 1192078101.0, 671799698.0, 36897469.0, 6178394.0, 34506, 2737.87 
1886.60689, 499.0, 1354258313.0, 11909503.0, 14794943.0, 44204171.0, 4255155550.0, 64182.0, 499.0, 1851289383.0, 606.0, 5723944334.0, 8880354.0, 1726081319.0, 823545658.0, 4302978.0, 69618715.0, 1742250872.0, 971996588.0, 48253564.0, 9032901.0, 18673, 2189.07 
1877.827519, 436.0, 1176260325.0, 10868753.0, 25343465.0, 61837888.0, 3771527642.0, 54176.0, 436.0, 1832724544.0, 586.0, 4652256167.0, 7024636.0, 1607422041.0, 681544492.0, 4583747.0, 94330758.0, 1492311667.0, 669690963.0, 40295196.0, 6185395.0, 30374, 1868.07 
1414.342813, 339.0, 872036570.0, 10982755.0, 9747710.0, 29490494.0, 3314453810.0, 48649.0, 339.0, 1350564081.0, 487.0, 4402814476.0, 6344425.0, 1171278042.0, 624970396.0, 3254161.0, 43270542.0, 1328192289.0, 654379752.0, 37258061.0, 7517602.0, 35730, 1488.65 
1482.765049, 607.0, 969722488.0, 8199944.0, 9267131.0, 28663354.0, 3333529684.0, 52740.0, 607.0, 1410514897.0, 590.0, 4757673842.0, 7302258.0, 1458940199.0, 594678302.0, 3376989.0, 52446203.0, 1309059703.0, 777476228.0, 29740696.0, 7502384.0, 32799, 1433.12 
1517.956294, 532.0, 1045738744.0, 9904405.0, 11299760.0, 35723418.0, 3429590070.0, 51662.0, 532.0, 1485742417.0, 880.0, 4165376363.0, 6998608.0, 1371618833.0, 694736569.0, 3090124.0, 54217711.0, 1363343629.0, 723269423.0, 41768554.0, 5658841.0, 21861, 1746.84 
1551.735875, 390.0, 1013243155.0, 9870865.0, 14005165.0, 39264457.0, 3581045206.0, 55120.0, 390.0, 1492041407.0, 513.0, 4551752481.0, 7918851.0, 1455135504.0, 738891249.0, 3194733.0, 49270705.0, 1422328447.0, 762018668.0, 48601393.0, 6180516.0, 46019, 1783.72 
1538.63558, 521.0, 919307424.0, 9359264.0, 11654494.0, 33772354.0, 3438194002.0, 50964.0, 521.0, 1443824041.0, 608.0, 4568738278.0, 6808083.0, 1421914869.0, 654551027.0, 3120358.0, 50101867.0, 1104380826.0, 592690721.0, 41351775.0, 7514309.0, 45605, 1465.74 
