task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
716.067913, 194.0, 279970833.0, 5264035.0, 4292673.0, 15935532.0, 1277954844.0, 19437.0, 194.0, 692679823.0, 310.0, 1425077483.0, 1996244.0, 436084846.0, 237631294.0, 1462389.0, 15834517.0, 406929813.0, 240163244.0, 18928655.0, 990911.0, 1459, 563.2 
587.945396, 202.0, 315250576.0, 7051220.0, 3923554.0, 13801865.0, 1198684328.0, 16097.0, 202.0, 577482880.0, 346.0, 1493552905.0, 1870822.0, 426843574.0, 201030055.0, 1178285.0, 15438022.0, 407420123.0, 212326577.0, 15576731.0, 990911.0, 1173, 475.59 
645.060246, 174.0, 219031766.0, 4429261.0, 2919260.0, 10751808.0, 1073618911.0, 15140.0, 174.0, 634616888.0, 328.0, 1204847654.0, 1811337.0, 457751557.0, 202765181.0, 1390405.0, 16644539.0, 392716088.0, 226206894.0, 17341621.0, 990911.0, 1185, 370.39 
583.527865, 211.0, 203969411.0, 3791731.0, 2650237.0, 10274513.0, 945905867.0, 10081.0, 211.0, 542468310.0, 308.0, 1151336035.0, 1895014.0, 362404966.0, 178411777.0, 1424142.0, 13423115.0, 371330865.0, 215966969.0, 13153637.0, 990911.0, 1190, 523.63 
648.171766, 182.0, 295593801.0, 6535356.0, 4314983.0, 14660176.0, 1354307136.0, 16554.0, 182.0, 641763053.0, 331.0, 1634810962.0, 2343534.0, 489239889.0, 177468246.0, 1408855.0, 13459737.0, 350988539.0, 211329611.0, 17437690.0, 990911.0, 988, 305.51 
735.32553, 180.0, 338282112.0, 5117064.0, 5428857.0, 14288769.0, 1420266346.0, 18665.0, 180.0, 723980065.0, 337.0, 1625206401.0, 2728334.0, 546153996.0, 230905051.0, 1506074.0, 15775825.0, 416930084.0, 224491022.0, 18726608.0, 990911.0, 1663, 625.16 
648.447587, 173.0, 344906057.0, 5463466.0, 4503146.0, 15170914.0, 1431617902.0, 18489.0, 173.0, 650470285.0, 401.0, 1581975522.0, 2163632.0, 491510164.0, 191632273.0, 1836081.0, 15444740.0, 365112804.0, 228741655.0, 16811156.0, 990911.0, 964, 315.62 
673.799503, 200.0, 324258633.0, 6084047.0, 4126497.0, 14619744.0, 1337282061.0, 11959.0, 200.0, 638372029.0, 360.0, 1417617179.0, 1728928.0, 444711432.0, 208710647.0, 1127507.0, 26975427.0, 478899858.0, 248332294.0, 18639471.0, 990911.0, 1024, 343.69 
706.353773, 220.0, 315681011.0, 6641249.0, 3665586.0, 13887907.0, 1375305316.0, 14750.0, 220.0, 700067320.0, 415.0, 1562179240.0, 1853632.0, 516671744.0, 269903820.0, 942424.0, 18003478.0, 458264458.0, 246341491.0, 13712140.0, 990911.0, 1538, 655.7 
633.910185, 167.0, 225986015.0, 6178180.0, 3466282.0, 10344453.0, 1189442874.0, 16920.0, 167.0, 622366151.0, 296.0, 1453881106.0, 2118559.0, 480465948.0, 237277952.0, 1255108.0, 19161678.0, 502765218.0, 303008084.0, 16892491.0, 990911.0, 1290, 401.22 
658.764196, 327.0, 307284858.0, 7570792.0, 4865275.0, 12226826.0, 1127385318.0, 14597.0, 327.0, 629666665.0, 396.0, 1064500161.0, 1743039.0, 433774181.0, 185885086.0, 1073243.0, 14406961.0, 405273165.0, 221925666.0, 19595574.0, 990911.0, 1245, 448.34 
820.383321, 258.0, 365743551.0, 6661068.0, 6821723.0, 19686743.0, 1519725111.0, 15288.0, 258.0, 776994397.0, 365.0, 1739415719.0, 2444307.0, 505195742.0, 225863850.0, 1259331.0, 23009652.0, 450752682.0, 238141750.0, 16797739.0, 990911.0, 1230, 480.88 
666.581812, 217.0, 249717001.0, 6397605.0, 5567662.0, 17838245.0, 1208862976.0, 11483.0, 217.0, 667941406.0, 331.0, 1355465963.0, 1571300.0, 440839791.0, 212131871.0, 1417151.0, 16400460.0, 487111302.0, 182630367.0, 18688217.0, 990911.0, 1119, 307.1 
695.402074, 389.0, 321107286.0, 6602971.0, 4507094.0, 14886116.0, 1487721143.0, 13201.0, 389.0, 674982320.0, 320.0, 1573196296.0, 1894942.0, 490698465.0, 238122549.0, 1285500.0, 26520250.0, 462799295.0, 231478077.0, 17903224.0, 990911.0, 992, 307.88 
644.750084, 213.0, 306610501.0, 6025059.0, 4298229.0, 15006641.0, 1391565344.0, 15780.0, 213.0, 619688255.0, 413.0, 1688412192.0, 1946873.0, 435260615.0, 205912708.0, 1005666.0, 16115628.0, 370993348.0, 241881168.0, 19914467.0, 990911.0, 1013, 304.79 
692.120307, 248.0, 287907293.0, 7173741.0, 3875479.0, 14468386.0, 1364111436.0, 17603.0, 248.0, 661953682.0, 413.0, 1549742527.0, 2362620.0, 510217337.0, 220644457.0, 1608319.0, 15675870.0, 448625007.0, 248939936.0, 14906648.0, 990911.0, 1346, 532.52 
636.35449, 331.0, 246941912.0, 6443547.0, 3651439.0, 12772800.0, 1378823111.0, 14486.0, 331.0, 588842593.0, 328.0, 1445675117.0, 2545886.0, 424741259.0, 236682515.0, 2024135.0, 11980394.0, 366577451.0, 230729735.0, 12279078.0, 990911.0, 956, 300.03 
665.371844, 201.0, 336369312.0, 6480177.0, 4509941.0, 12641585.0, 1264464607.0, 18088.0, 201.0, 646704328.0, 415.0, 1367489370.0, 2081549.0, 468800314.0, 197036362.0, 914607.0, 16002412.0, 393570486.0, 263096070.0, 17771180.0, 990911.0, 1060, 470.61 
593.77441, 206.0, 277806350.0, 4648562.0, 3616455.0, 13240275.0, 1130834445.0, 16176.0, 206.0, 584730166.0, 411.0, 1323379641.0, 2056244.0, 412100582.0, 237714304.0, 1143701.0, 12499619.0, 419049530.0, 217268594.0, 14391530.0, 990911.0, 1216, 432.91 
637.036693, 176.0, 267727004.0, 5180092.0, 4414384.0, 15242974.0, 1443623322.0, 15691.0, 176.0, 626261654.0, 388.0, 1493648284.0, 2293729.0, 468454282.0, 216981738.0, 1964197.0, 13426731.0, 408097739.0, 201814742.0, 17030626.0, 990911.0, 1233, 256.88 
