task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1093.419053, 278.0, 699531680.0, 7655590.0, 7730957.0, 23038023.0, 2356789887.0, 23429.0, 278.0, 1073136267.0, 447.0, 3254822406.0, 3813056.0, 1112766865.0, 513281544.0, 3383262.0, 24422559.0, 888500245.0, 472299349.0, 22542669.0, 1682527.0, 43656, 3023.47 
1035.848963, 206.0, 648911393.0, 10084498.0, 7842921.0, 24569313.0, 2550689831.0, 23099.0, 206.0, 1009719870.0, 382.0, 3372227140.0, 3518525.0, 931426814.0, 506301966.0, 1973030.0, 29886615.0, 878812207.0, 483458920.0, 28507118.0, 1674924.0, 30305, 2932.06 
1149.799458, 307.0, 645515481.0, 8089506.0, 7139524.0, 22711779.0, 2403267880.0, 22860.0, 307.0, 1118242204.0, 601.0, 3135246706.0, 3302622.0, 790524909.0, 435697717.0, 2475722.0, 31733122.0, 924229794.0, 518944221.0, 28294955.0, 1698905.0, 72629, 3038.11 
1068.927783, 237.0, 588418059.0, 7246679.0, 6842684.0, 22477977.0, 2354832632.0, 23498.0, 237.0, 1059929855.0, 453.0, 3222129758.0, 3683468.0, 1045650314.0, 527138361.0, 1687891.0, 34049757.0, 937030139.0, 488968105.0, 23008241.0, 1679903.0, 57428, 2874.64 
1152.350346, 293.0, 687001312.0, 8689965.0, 7435627.0, 25346077.0, 2596604812.0, 25592.0, 293.0, 1114676354.0, 426.0, 3376746178.0, 4044425.0, 1037638242.0, 426702432.0, 2724705.0, 31792711.0, 981088895.0, 564933864.0, 31349279.0, 1811822.0, 34526, 3289.16 
1157.247243, 293.0, 653526423.0, 8021564.0, 8073514.0, 23392355.0, 2593195803.0, 25529.0, 293.0, 1098202917.0, 471.0, 3555160006.0, 4655972.0, 1034778368.0, 531962125.0, 2527453.0, 34287481.0, 886525473.0, 476334527.0, 30930654.0, 1834289.0, 31577, 3216.46 
1035.367442, 264.0, 624691640.0, 5834850.0, 5735555.0, 19169278.0, 2057630525.0, 21671.0, 264.0, 1002178174.0, 463.0, 2986676366.0, 3664435.0, 863156674.0, 503938449.0, 2370279.0, 28375001.0, 883258284.0, 478059452.0, 26446837.0, 1720726.0, 70483, 2748.3 
1097.960835, 288.0, 611950638.0, 7477629.0, 6113888.0, 22396659.0, 2414747436.0, 24044.0, 288.0, 1021965724.0, 401.0, 3241883363.0, 3942924.0, 960904516.0, 432860433.0, 2582318.0, 25814839.0, 988851516.0, 503367171.0, 25128098.0, 1729005.0, 67405, 3031.18 
1122.693776, 296.0, 646564528.0, 9221511.0, 7620675.0, 22427208.0, 2553200928.0, 23975.0, 296.0, 1096864315.0, 703.0, 3525869799.0, 3889265.0, 1065543370.0, 514447310.0, 1940777.0, 32907113.0, 1031663121.0, 580305874.0, 32942300.0, 1830452.0, 39149, 3349.96 
1071.284053, 289.0, 692487090.0, 8534163.0, 8174337.0, 23994721.0, 2341600594.0, 23885.0, 289.0, 1046111965.0, 466.0, 2968926174.0, 3451355.0, 977456427.0, 447713517.0, 2080461.0, 30680766.0, 878593447.0, 453478893.0, 24464891.0, 1742824.0, 45118, 2897.06 
