task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1297.019618, 365.0, 822377253.0, 9160622.0, 9023135.0, 27949279.0, 2942567173.0, 45899.0, 365.0, 1260760401.0, 440.0, 4249225603.0, 5445831.0, 1051534281.0, 618146803.0, 3076933.0, 39816366.0, 1139271457.0, 577144831.0, 31088867.0, 2486300.0, 53714, 1167.1 
1298.436853, 328.0, 810861980.0, 9053880.0, 8535086.0, 29835344.0, 3123503006.0, 43873.0, 328.0, 1286223591.0, 510.0, 3896195115.0, 5628299.0, 1184300191.0, 573225275.0, 3031482.0, 35646468.0, 1154561028.0, 580888466.0, 34520632.0, 2472767.0, 42649, 1036.75 
1312.452488, 405.0, 832161399.0, 9954531.0, 9332540.0, 26278524.0, 2993849100.0, 46187.0, 405.0, 1289413721.0, 467.0, 3716472811.0, 4987148.0, 1362252037.0, 593107202.0, 3281832.0, 41863569.0, 1058904286.0, 607897828.0, 29945676.0, 2472652.0, 79343, 1092.08 
1308.237376, 552.0, 827962814.0, 11933865.0, 10499833.0, 28560904.0, 2936123840.0, 41040.0, 552.0, 1282550775.0, 508.0, 3747676849.0, 4588600.0, 1222007473.0, 607477251.0, 3123696.0, 42581566.0, 1103903754.0, 637344425.0, 33705461.0, 2472609.0, 61931, 1289.51 
1325.615586, 408.0, 802500789.0, 8694119.0, 10278700.0, 27784494.0, 2873453673.0, 42547.0, 408.0, 1263762639.0, 445.0, 3649538818.0, 5697962.0, 1128959186.0, 525443774.0, 3262486.0, 42013640.0, 1136786320.0, 575952576.0, 33990199.0, 2472611.0, 43666, 1117.82 
1328.942792, 320.0, 816483079.0, 8111502.0, 7975554.0, 26182670.0, 2999173544.0, 44415.0, 320.0, 1296015014.0, 466.0, 3901454021.0, 5578493.0, 1154453525.0, 568879853.0, 2456156.0, 40171458.0, 1131346185.0, 609375556.0, 40350285.0, 2472775.0, 45229, 1314.29 
1287.136594, 401.0, 756413819.0, 9672339.0, 8980321.0, 26529500.0, 2943554654.0, 46916.0, 401.0, 1250002883.0, 470.0, 4037597849.0, 5334539.0, 1332180777.0, 563315364.0, 2653818.0, 48240872.0, 1093798016.0, 618601118.0, 32950167.0, 2480841.0, 76126, 1053.54 
1331.196581, 460.0, 813520720.0, 9247772.0, 10621981.0, 29551007.0, 3045221153.0, 46246.0, 460.0, 1282603952.0, 540.0, 4216734113.0, 5339028.0, 1357325921.0, 615913137.0, 3056371.0, 43383752.0, 1056038445.0, 563732595.0, 36717638.0, 2472723.0, 71956, 1108.86 
1359.854902, 343.0, 886033082.0, 8151162.0, 12067400.0, 31457411.0, 3172717937.0, 41693.0, 343.0, 1333297418.0, 502.0, 3909879220.0, 5108490.0, 1108277900.0, 547508561.0, 2990699.0, 36836104.0, 1000101802.0, 544540288.0, 34684839.0, 2472761.0, 47868, 1119.25 
1318.709024, 371.0, 721810241.0, 8098178.0, 10680657.0, 28017127.0, 2920407466.0, 44823.0, 371.0, 1289814139.0, 467.0, 4016722613.0, 5448503.0, 1035570900.0, 576087266.0, 3201744.0, 38817278.0, 1199822865.0, 670947430.0, 34618368.0, 2472348.0, 51940, 1114.63 
1330.312776, 422.0, 793078270.0, 8473677.0, 7987001.0, 26679995.0, 3012151874.0, 45528.0, 422.0, 1253277010.0, 504.0, 3905246163.0, 6903701.0, 1315944950.0, 597169018.0, 2558803.0, 45640672.0, 1126965212.0, 602045632.0, 30073517.0, 2528869.0, 55800, 1389.88 
1343.542497, 362.0, 847079282.0, 7219035.0, 11846902.0, 33045544.0, 2928566623.0, 41899.0, 362.0, 1316411148.0, 504.0, 3831355877.0, 5600125.0, 1263453467.0, 663860196.0, 3005333.0, 37123253.0, 1247858709.0, 626301105.0, 33216115.0, 2472359.0, 72002, 1214.27 
1285.801332, 284.0, 783502818.0, 7046136.0, 8618655.0, 28074021.0, 2799314546.0, 40198.0, 284.0, 1247350053.0, 451.0, 3661332986.0, 5232163.0, 1122883804.0, 528890406.0, 2976619.0, 38777068.0, 1011072930.0, 599182841.0, 33790200.0, 2472584.0, 66761, 1121.43 
1339.022352, 284.0, 807296074.0, 7627263.0, 10151009.0, 29260740.0, 3030937029.0, 43963.0, 284.0, 1335156216.0, 547.0, 3710456341.0, 5551118.0, 1138899561.0, 533089247.0, 2658852.0, 36209083.0, 1081118993.0, 617065694.0, 31358255.0, 2472774.0, 74581, 1103.84 
