task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2015.860838, 656.0, 1281131185.0, 13129829.0, 18771530.0, 45477765.0, 4370475417.0, 69259.0, 656.0, 1952819213.0, 786.0, 5873820598.0, 11784974.0, 1960452341.0, 926302609.0, 4104335.0, 67251666.0, 2298338203.0, 1072700607.0, 47813914.0, 2716568.0, 153471, 4888.74 
1717.678369, 601.0, 1007105312.0, 13473973.0, 16615807.0, 41647256.0, 4048966704.0, 49123.0, 601.0, 1639852884.0, 656.0, 5224340777.0, 6398096.0, 1707033554.0, 699649954.0, 3638572.0, 49323441.0, 1761818017.0, 847965616.0, 32633337.0, 2511209.0, 45258, 4872.88 
1852.598268, 597.0, 1237052620.0, 13477414.0, 15368339.0, 36510276.0, 4374399700.0, 67618.0, 597.0, 1780933306.0, 966.0, 5878856109.0, 8145630.0, 1618595659.0, 866705615.0, 4252203.0, 58019443.0, 1862192453.0, 921633961.0, 46417730.0, 2701664.0, 382099, 5054.15 
2122.239815, 575.0, 1256789467.0, 14054311.0, 23294850.0, 44925911.0, 4491085852.0, 72365.0, 575.0, 2037788730.0, 656.0, 6597030783.0, 10234866.0, 2109254284.0, 1021317254.0, 5573321.0, 68136033.0, 1988078670.0, 963613721.0, 51826777.0, 2700173.0, 260397, 8920.17 
1756.812615, 676.0, 1113612025.0, 12315075.0, 17631853.0, 39576073.0, 3713251293.0, 62409.0, 676.0, 1665086635.0, 799.0, 4839493721.0, 7239795.0, 1532528626.0, 862040376.0, 3284557.0, 61169160.0, 1804685168.0, 884112286.0, 37817747.0, 2321926.0, 75687, 5125.86 
1573.191433, 591.0, 995790449.0, 11120184.0, 12615845.0, 33942509.0, 3794922532.0, 59307.0, 591.0, 1529617435.0, 714.0, 5291554981.0, 7232991.0, 1535115852.0, 826903408.0, 3438714.0, 49229782.0, 1460205642.0, 759231696.0, 37163658.0, 2195173.0, 61789, 4602.46 
1655.304958, 655.0, 1157502492.0, 12735134.0, 15234771.0, 37254853.0, 3914083960.0, 53560.0, 655.0, 1590201917.0, 738.0, 5291037353.0, 6286892.0, 1574928085.0, 781231762.0, 3551029.0, 62004758.0, 1589649556.0, 839761177.0, 36716505.0, 2205560.0, 359109, 4528.68 
1692.931507, 617.0, 1332757736.0, 13099221.0, 13035221.0, 36329938.0, 4129136083.0, 62168.0, 617.0, 1650427879.0, 704.0, 6356550347.0, 6939488.0, 1730994140.0, 772661742.0, 3519300.0, 56526966.0, 1521642937.0, 802836397.0, 36975130.0, 2346849.0, 316655, 4699.56 
1831.943521, 702.0, 1092167745.0, 11962166.0, 17147729.0, 38748713.0, 3936882907.0, 61497.0, 702.0, 1765474089.0, 836.0, 5146032155.0, 6893772.0, 1680391851.0, 850251439.0, 3801042.0, 56689134.0, 1542335459.0, 841564827.0, 45300545.0, 2466481.0, 102288, 4851.13 
1729.536546, 630.0, 1212017658.0, 12745839.0, 15451729.0, 35121758.0, 4136891925.0, 61962.0, 630.0, 1663974607.0, 821.0, 5543328050.0, 8294435.0, 1514157085.0, 839723197.0, 3951207.0, 60355543.0, 1697131264.0, 870958652.0, 43157851.0, 2274812.0, 163869, 4435.24 
1786.631521, 748.0, 1137546993.0, 12088347.0, 15356836.0, 37899516.0, 4238590653.0, 64144.0, 748.0, 1693765485.0, 875.0, 5042192146.0, 9434810.0, 1780880097.0, 832972621.0, 4612670.0, 61950440.0, 1847628658.0, 910018741.0, 43171703.0, 2444295.0, 138268, 4726.73 
1955.280126, 1036.0, 1341371393.0, 13379316.0, 17820956.0, 43887178.0, 4491431575.0, 61933.0, 1036.0, 1733630977.0, 968.0, 5715132671.0, 9320645.0, 1788596283.0, 984617522.0, 3961919.0, 72696725.0, 1976252623.0, 937195935.0, 46948478.0, 2655528.0, 295218, 4918.32 
1674.313297, 745.0, 1042048823.0, 10413350.0, 12551869.0, 32526694.0, 3923764171.0, 59225.0, 745.0, 1639252454.0, 744.0, 5488810512.0, 6769852.0, 1650490360.0, 805883050.0, 3272811.0, 59896020.0, 1480956945.0, 886357958.0, 38923663.0, 2240502.0, 281691, 4659.46 
1862.932199, 597.0, 1160553290.0, 14758902.0, 18595384.0, 42049164.0, 4410384357.0, 66443.0, 597.0, 1804657822.0, 656.0, 6568015275.0, 7868458.0, 1837910056.0, 942444604.0, 3051013.0, 66064022.0, 1749165341.0, 880832115.0, 38571091.0, 2679968.0, 300392, 4576.93 
2073.560484, 944.0, 1276673187.0, 13288123.0, 19152206.0, 42637922.0, 4930995300.0, 68918.0, 944.0, 2007331850.0, 987.0, 7344443302.0, 8685608.0, 1931349144.0, 974216165.0, 3995777.0, 73867689.0, 1931302444.0, 1044783128.0, 46714487.0, 2641980.0, 126092, 5333.02 
1478.295123, 496.0, 995715587.0, 8159401.0, 10093781.0, 29568902.0, 3136163945.0, 53421.0, 496.0, 1401650889.0, 563.0, 3747838814.0, 7087164.0, 1345955197.0, 733265653.0, 3033275.0, 50805036.0, 1500339647.0, 755267821.0, 31317394.0, 2210572.0, 230123, 4195.72 
1646.235296, 626.0, 944393704.0, 10273268.0, 13635779.0, 31485659.0, 3777660259.0, 57602.0, 626.0, 1591954779.0, 777.0, 5436863473.0, 6822943.0, 1343088261.0, 762244428.0, 3096715.0, 50437707.0, 1392099451.0, 716295122.0, 39392471.0, 2327836.0, 205310, 4431.65 
1501.7615, 547.0, 946213185.0, 11351161.0, 13042805.0, 28513646.0, 3506859954.0, 40391.0, 547.0, 1459148852.0, 850.0, 5111401114.0, 6103438.0, 1338530490.0, 682808655.0, 3336825.0, 46564327.0, 1331106085.0, 687206985.0, 35821978.0, 2214809.0, 29240, 4714.36 
