task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1112.927688, 363.0, 764739849.0, 7729802.0, 8639673.0, 25387598.0, 2313571598.0, 41988.0, 363.0, 1051388260.0, 595.0, 3326536342.0, 4862034.0, 1048375062.0, 432945739.0, 1952463.0, 29845852.0, 863814390.0, 468901520.0, 27688715.0, 1324056.0, 26419, 2133.25 
1081.387563, 301.0, 578001263.0, 6983567.0, 8854214.0, 20236055.0, 2393324762.0, 37199.0, 301.0, 1030524253.0, 398.0, 3266030247.0, 3733964.0, 910070506.0, 398974722.0, 2079281.0, 31913939.0, 803811580.0, 447876046.0, 26429767.0, 1313429.0, 12755, 1868.15 
1116.028911, 266.0, 797841491.0, 8693258.0, 8351104.0, 24390750.0, 2261737244.0, 41012.0, 266.0, 1079150806.0, 418.0, 3032387663.0, 4379590.0, 961484540.0, 488773736.0, 2162140.0, 30671614.0, 882840995.0, 471468179.0, 24998996.0, 1315553.0, 56197, 2199.1 
1269.240632, 296.0, 931177485.0, 9586790.0, 15039251.0, 41248048.0, 2517761663.0, 32931.0, 296.0, 1213981472.0, 647.0, 2973530713.0, 3802813.0, 1025313949.0, 482987134.0, 3183269.0, 51744813.0, 1032503488.0, 525366719.0, 24575175.0, 1340739.0, 37527, 2310.09 
1091.08845, 296.0, 656870660.0, 8029481.0, 10058197.0, 24404213.0, 2302831713.0, 38979.0, 296.0, 1029101874.0, 404.0, 3153022599.0, 4327787.0, 806218091.0, 449794261.0, 1502369.0, 29630466.0, 865493843.0, 500610283.0, 24768658.0, 1317802.0, 16580, 2050.92 
1130.87245, 292.0, 734291087.0, 7587642.0, 9237212.0, 24757198.0, 2354042606.0, 41996.0, 292.0, 1100620505.0, 461.0, 2912543678.0, 3630153.0, 887559422.0, 461212113.0, 2314564.0, 27514696.0, 981324413.0, 528502335.0, 23713222.0, 1327628.0, 16447, 1520.72 
1178.521839, 275.0, 750216418.0, 7965943.0, 7317342.0, 24265639.0, 2500040263.0, 40513.0, 275.0, 1140754456.0, 412.0, 3104846380.0, 3885388.0, 1018542772.0, 466824722.0, 2631873.0, 30928291.0, 898077731.0, 484362001.0, 26829567.0, 1335302.0, 52866, 2563.44 
1286.205731, 282.0, 974903488.0, 8030599.0, 12809615.0, 39067567.0, 2455892850.0, 42232.0, 282.0, 1254150642.0, 601.0, 3394406766.0, 4384088.0, 1186856665.0, 516858107.0, 1890256.0, 74048582.0, 1231897375.0, 576573833.0, 23772978.0, 1336712.0, 45758, 1743.18 
1205.841759, 281.0, 697844313.0, 8156156.0, 9629127.0, 25619504.0, 2337192626.0, 42514.0, 281.0, 1138041714.0, 377.0, 3146781371.0, 5380335.0, 969494927.0, 537961126.0, 2610274.0, 32732798.0, 1130274625.0, 577111258.0, 25903855.0, 1335072.0, 20188, 2208.34 
1209.208038, 289.0, 684797912.0, 8240364.0, 8909485.0, 23423147.0, 2538838770.0, 43630.0, 289.0, 1168481777.0, 395.0, 3430612168.0, 4506683.0, 851892164.0, 570561404.0, 2737482.0, 31562626.0, 913101556.0, 487805694.0, 28016191.0, 1335334.0, 26666, 2544.72 
