task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1083.297474, 334.0, 604745932.0, 7930517.0, 10153785.0, 22024103.0, 2538472839.0, 26752.0, 334.0, 1027852003.0, 634.0, 3335691614.0, 4732384.0, 971214043.0, 502037707.0, 2924694.0, 32931887.0, 1043025539.0, 543778739.0, 26514325.0, 8726532.0, 24798, 996.99 
1240.373001, 269.0, 701721566.0, 8217261.0, 8425185.0, 21685218.0, 2632408958.0, 44487.0, 269.0, 1217713219.0, 542.0, 3728906994.0, 5303630.0, 1199217247.0, 637163693.0, 2463661.0, 37449548.0, 1118563635.0, 596640485.0, 34231405.0, 8755739.0, 19681, 951.83 
1088.443435, 301.0, 740336810.0, 8678938.0, 9574030.0, 23618305.0, 2599405762.0, 26967.0, 301.0, 1039574986.0, 580.0, 3523877085.0, 4483658.0, 1065901252.0, 532896507.0, 2595809.0, 32128956.0, 1017013285.0, 559292032.0, 31732026.0, 8733057.0, 31424, 991.82 
1271.322943, 265.0, 742452996.0, 8497037.0, 6893777.0, 23763572.0, 2628033595.0, 27756.0, 265.0, 1238784684.0, 397.0, 3547545404.0, 4201415.0, 1118181628.0, 594251404.0, 2420937.0, 40642213.0, 1110616482.0, 601240559.0, 25825821.0, 8753647.0, 26310, 949.42 
1148.846425, 312.0, 687701988.0, 8501465.0, 9801226.0, 23246534.0, 2466036151.0, 42394.0, 312.0, 1070516703.0, 534.0, 3504111457.0, 4699096.0, 1105849996.0, 572395500.0, 2266404.0, 33732085.0, 1012693770.0, 510615048.0, 28932415.0, 8736603.0, 20417, 947.32 
1116.805988, 270.0, 702127431.0, 9545004.0, 10729173.0, 24277562.0, 2448038561.0, 41652.0, 270.0, 1076667827.0, 450.0, 3578752492.0, 4719017.0, 998772786.0, 494868125.0, 2774736.0, 36096983.0, 1061002157.0, 582153740.0, 25167394.0, 8732860.0, 21063, 984.26 
1072.007586, 304.0, 620608088.0, 7030136.0, 8182085.0, 18928957.0, 2262977731.0, 26674.0, 304.0, 1031684848.0, 448.0, 3151044217.0, 3997541.0, 1057692227.0, 537132252.0, 2385329.0, 34572829.0, 1199770297.0, 616218798.0, 24926195.0, 8741187.0, 29135, 940.41 
1043.132951, 315.0, 684989618.0, 6873414.0, 8306704.0, 23182630.0, 2325813252.0, 25212.0, 315.0, 1006698529.0, 641.0, 3145245719.0, 3558053.0, 1087217333.0, 554674530.0, 2364036.0, 32133952.0, 938380902.0, 498279551.0, 25893538.0, 8732114.0, 28874, 1079.18 
1168.073654, 321.0, 762192153.0, 9019571.0, 9825677.0, 24630930.0, 2678627610.0, 41521.0, 321.0, 1115543878.0, 523.0, 3443726332.0, 5204474.0, 1065182692.0, 486088134.0, 1991662.0, 34490544.0, 1006886972.0, 554769940.0, 32820169.0, 8632186.0, 26389, 2030.39 
1106.848546, 243.0, 607719146.0, 10447780.0, 8670419.0, 22390958.0, 2630882156.0, 23689.0, 243.0, 1079999995.0, 441.0, 3528962469.0, 4180022.0, 1009993545.0, 489220071.0, 2412661.0, 31409267.0, 963149099.0, 510421244.0, 29516912.0, 8728590.0, 24361, 992.88 
1073.67969, 292.0, 629926917.0, 6539740.0, 10590876.0, 22174422.0, 2253726384.0, 25047.0, 292.0, 1033855462.0, 498.0, 3226091158.0, 3924295.0, 957704302.0, 492913691.0, 1952190.0, 39782378.0, 1114991698.0, 528063917.0, 26142413.0, 8727117.0, 23838, 991.42 
1100.951344, 275.0, 689298062.0, 9122013.0, 9452439.0, 22317269.0, 2594336205.0, 25246.0, 275.0, 1088033365.0, 735.0, 3662206965.0, 4116927.0, 1018830055.0, 535129044.0, 2653413.0, 32918111.0, 937176509.0, 515589155.0, 30407968.0, 8726524.0, 27957, 986.72 
1025.268182, 230.0, 644484816.0, 6522235.0, 8981046.0, 23336888.0, 2206247578.0, 24129.0, 230.0, 999588846.0, 613.0, 3045300234.0, 3935926.0, 1020329109.0, 551138692.0, 1585038.0, 35004079.0, 952310656.0, 458403678.0, 26952989.0, 8727351.0, 27743, 1027.24 
1091.707879, 311.0, 712531743.0, 8023924.0, 9174295.0, 23642209.0, 2385814964.0, 26434.0, 311.0, 1043723628.0, 581.0, 3677104014.0, 3940143.0, 927384769.0, 515352962.0, 2049264.0, 33508110.0, 971069761.0, 561752692.0, 25062797.0, 8738875.0, 26946, 948.93 
1107.024762, 239.0, 699800808.0, 9014512.0, 9309483.0, 26737069.0, 2624615167.0, 34505.0, 239.0, 1088015823.0, 425.0, 3352692655.0, 4897461.0, 1093095438.0, 506193752.0, 3060119.0, 32623173.0, 1061091038.0, 550739838.0, 24539601.0, 8738505.0, 23275, 951.64 
1064.455637, 237.0, 671891277.0, 7668306.0, 8499184.0, 19923680.0, 2228400511.0, 24839.0, 237.0, 1037234384.0, 551.0, 3201862326.0, 3789592.0, 1060208196.0, 565011520.0, 2479251.0, 31224793.0, 1051473244.0, 538426982.0, 23503381.0, 8760164.0, 26567, 977.49 
1035.738633, 285.0, 636313258.0, 9149812.0, 9248496.0, 23171075.0, 2492008414.0, 25536.0, 285.0, 986185172.0, 427.0, 3510979622.0, 3983926.0, 1173055651.0, 534819592.0, 2728527.0, 34787562.0, 961907573.0, 489124736.0, 27017138.0, 8727927.0, 24451, 962.03 
