task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
705.185905, 201.0, 357266132.0, 5626060.0, 5010246.0, 13060337.0, 1481000363.0, 16544.0, 201.0, 700882416.0, 368.0, 1829905891.0, 1855234.0, 429315487.0, 268678336.0, 1434183.0, 21230510.0, 551786440.0, 312318325.0, 16398883.0, 1723292.0, 10056, 1312.71 
711.425046, 244.0, 371515513.0, 5829348.0, 4364950.0, 13521081.0, 1466147609.0, 16881.0, 244.0, 707487916.0, 381.0, 1786086899.0, 1846091.0, 581183220.0, 254697484.0, 1227500.0, 20083021.0, 565909737.0, 302908811.0, 18044487.0, 1690265.0, 5197, 1004.62 
734.965974, 219.0, 374268539.0, 6693611.0, 4783716.0, 13753797.0, 1514139289.0, 17224.0, 219.0, 726720007.0, 418.0, 1875916927.0, 1908601.0, 620201395.0, 255877950.0, 1427675.0, 18409234.0, 486621029.0, 236162251.0, 17977088.0, 1720272.0, 16245, 1098.61 
696.865276, 229.0, 419761192.0, 5835769.0, 3697831.0, 13544684.0, 1410103090.0, 16549.0, 229.0, 686289017.0, 361.0, 1803636452.0, 1745966.0, 539186852.0, 274631113.0, 1710914.0, 17370138.0, 507043263.0, 332719688.0, 17027424.0, 1686284.0, 13799, 1453.4 
713.722546, 239.0, 360246995.0, 6223664.0, 5526562.0, 16944336.0, 1537807364.0, 16783.0, 239.0, 691488621.0, 438.0, 1934017755.0, 2392970.0, 612271603.0, 269266437.0, 1311137.0, 17132133.0, 494120796.0, 238195138.0, 13454016.0, 1684502.0, 6702, 1684.8 
699.585985, 267.0, 319442285.0, 5744687.0, 4572597.0, 12381435.0, 1409734509.0, 17645.0, 267.0, 681817122.0, 387.0, 1798657570.0, 1988674.0, 589404895.0, 254047713.0, 1350488.0, 20190233.0, 526334645.0, 296928058.0, 18363700.0, 1720199.0, 6022, 1263.76 
552.760857, 186.0, 230975426.0, 6350965.0, 2440044.0, 10418445.0, 1053524424.0, 12890.0, 186.0, 537355909.0, 293.0, 1176763821.0, 1315302.0, 331156201.0, 206317635.0, 714432.0, 16735855.0, 381140652.0, 189881300.0, 14228991.0, 1648827.0, 15040, 661.47 
733.198367, 252.0, 325650515.0, 6282445.0, 3972534.0, 14748991.0, 1382528981.0, 16615.0, 252.0, 726950175.0, 468.0, 1737388483.0, 1757046.0, 505338326.0, 300348538.0, 917706.0, 22636786.0, 631809109.0, 313603835.0, 16053967.0, 1684792.0, 16095, 942.69 
694.096106, 258.0, 333202909.0, 5561012.0, 5341241.0, 14652680.0, 1356844819.0, 17210.0, 258.0, 674114266.0, 382.0, 1706967340.0, 2156194.0, 590609810.0, 319213244.0, 987763.0, 13824208.0, 471447344.0, 228449551.0, 14324536.0, 1722149.0, 6553, 980.03 
688.898044, 253.0, 322815089.0, 6024857.0, 4064944.0, 13730893.0, 1383947885.0, 16255.0, 253.0, 676777054.0, 455.0, 1649341586.0, 2295742.0, 554139172.0, 336373644.0, 874132.0, 18648237.0, 604916409.0, 332777902.0, 18908514.0, 1696340.0, 8290, 1081.72 
702.079396, 231.0, 401694035.0, 4976907.0, 6664011.0, 14660358.0, 1491475150.0, 16921.0, 231.0, 693768425.0, 424.0, 1682631641.0, 1897452.0, 604734507.0, 231639856.0, 1121437.0, 18597430.0, 457348850.0, 290504037.0, 20989293.0, 1684972.0, 9127, 1034.71 
716.479867, 256.0, 377874142.0, 6685998.0, 5224120.0, 12318459.0, 1331986878.0, 17374.0, 256.0, 704888044.0, 384.0, 1651349806.0, 1783201.0, 510779386.0, 267708737.0, 1401089.0, 22490545.0, 564995867.0, 327528472.0, 15934424.0, 1712632.0, 13382, 1035.48 
702.79252, 203.0, 320172681.0, 6643274.0, 4979817.0, 14426133.0, 1500674707.0, 17246.0, 203.0, 698388165.0, 343.0, 1907512858.0, 2239052.0, 589776230.0, 250494778.0, 1165395.0, 16768658.0, 464149712.0, 212664492.0, 16171616.0, 1690258.0, 14569, 998.74 
711.533288, 247.0, 352213576.0, 6778279.0, 4808091.0, 15376432.0, 1418059733.0, 17315.0, 247.0, 696049641.0, 381.0, 1790407668.0, 2392988.0, 640733892.0, 254536854.0, 953167.0, 18078554.0, 516360896.0, 260884024.0, 13630257.0, 1705640.0, 15194, 962.43 
721.755861, 284.0, 350883269.0, 6920279.0, 5372371.0, 15425456.0, 1427282775.0, 18340.0, 284.0, 704142474.0, 473.0, 1741551137.0, 2012260.0, 559650670.0, 243149379.0, 1036661.0, 18440288.0, 518333122.0, 252475542.0, 15062299.0, 1684634.0, 6665, 905.77 
679.248847, 244.0, 368202116.0, 6576531.0, 4416575.0, 13219866.0, 1397376552.0, 17523.0, 244.0, 674303515.0, 444.0, 1923606855.0, 2037483.0, 587275047.0, 270596913.0, 1476436.0, 19084346.0, 539107221.0, 342947340.0, 19311709.0, 1725753.0, 11182, 1078.93 
722.592118, 220.0, 357187874.0, 7261184.0, 4645394.0, 15415705.0, 1466149171.0, 17232.0, 220.0, 703694870.0, 353.0, 1631231537.0, 2275361.0, 593060020.0, 299614576.0, 1108661.0, 17052222.0, 611509293.0, 287465914.0, 13087159.0, 1694028.0, 11742, 942.61 
730.590168, 244.0, 391746282.0, 7727643.0, 5313608.0, 14807838.0, 1479799122.0, 17310.0, 244.0, 723764413.0, 459.0, 1526196978.0, 1657117.0, 567956278.0, 213516832.0, 1445627.0, 19811861.0, 474056853.0, 291675383.0, 19514655.0, 1688903.0, 2914, 1145.31 
677.123281, 228.0, 315249112.0, 5080841.0, 3979644.0, 12178144.0, 1197470596.0, 17372.0, 228.0, 682205506.0, 365.0, 1562346866.0, 1880265.0, 540285256.0, 291778180.0, 998683.0, 16882003.0, 597025414.0, 285091820.0, 14849953.0, 1694242.0, 10575, 972.24 
716.116206, 219.0, 360468140.0, 7570914.0, 4108690.0, 15250068.0, 1424764943.0, 17233.0, 219.0, 710267756.0, 364.0, 1546604432.0, 1616038.0, 481012170.0, 299557998.0, 1419111.0, 21164211.0, 519469432.0, 311560216.0, 19041464.0, 1689961.0, 11011, 1031.12 
718.47359, 224.0, 348168584.0, 6408636.0, 5007868.0, 14960680.0, 1420393423.0, 17162.0, 224.0, 708980099.0, 364.0, 1822532150.0, 1945098.0, 627289067.0, 256973473.0, 1206705.0, 15913821.0, 530851845.0, 259984673.0, 18757803.0, 1710766.0, 10104, 993.78 
705.985539, 209.0, 385306806.0, 7819339.0, 4055751.0, 13080075.0, 1294523178.0, 17638.0, 209.0, 689626073.0, 359.0, 1760555336.0, 1732357.0, 516731384.0, 263660622.0, 1526847.0, 19401516.0, 524076457.0, 373371624.0, 16788312.0, 1697769.0, 7442, 1188.91 
712.271948, 243.0, 349287944.0, 5222572.0, 3738095.0, 12638926.0, 1302927306.0, 17291.0, 243.0, 692066953.0, 441.0, 1839842543.0, 1910893.0, 525040423.0, 343841755.0, 1271955.0, 22121392.0, 617695436.0, 301844881.0, 19370948.0, 1699437.0, 15349, 1174.11 
691.255292, 246.0, 387658067.0, 6472863.0, 4835853.0, 15050023.0, 1408076108.0, 17589.0, 246.0, 670310881.0, 369.0, 1759363415.0, 2218382.0, 505783770.0, 285294195.0, 1238698.0, 22394827.0, 516509272.0, 296204192.0, 17175038.0, 1719697.0, 17037, 1136.9 
