task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1414.555484, 369.0, 966053837.0, 11341186.0, 12132217.0, 33659297.0, 3177979419.0, 30465.0, 369.0, 1361673733.0, 516.0, 3894754377.0, 5980277.0, 1247484024.0, 616837778.0, 3213531.0, 42561912.0, 1316632242.0, 680523426.0, 28918234.0, 3090001.0, 79810, 2230.75 
1427.137048, 478.0, 836049690.0, 9840533.0, 13795920.0, 34674034.0, 3210546068.0, 33336.0, 478.0, 1372160834.0, 558.0, 4386964828.0, 5997577.0, 1353009531.0, 679337251.0, 2788440.0, 38464264.0, 1278163336.0, 632276525.0, 30242978.0, 3094943.0, 58173, 2671.61 
1380.436335, 458.0, 955545518.0, 9968743.0, 12407063.0, 29493661.0, 3368792326.0, 34502.0, 458.0, 1313565733.0, 492.0, 4755513826.0, 5374642.0, 1277947569.0, 601063939.0, 3244554.0, 54267552.0, 1297197645.0, 673080617.0, 38432630.0, 3105897.0, 123240, 1849.27 
1228.931703, 466.0, 806869891.0, 8022065.0, 9269383.0, 26065522.0, 2730721968.0, 29407.0, 466.0, 1171582312.0, 671.0, 3866815121.0, 4367944.0, 1295533855.0, 692847172.0, 2940877.0, 40637113.0, 1220172098.0, 623750465.0, 32316646.0, 3086142.0, 101148, 2018.6 
1479.742974, 368.0, 885672505.0, 9421644.0, 10250118.0, 25871404.0, 3303157398.0, 31724.0, 368.0, 1421786154.0, 484.0, 4449194120.0, 5380686.0, 1184574430.0, 552927970.0, 3467765.0, 57059428.0, 1165611938.0, 599742961.0, 33618859.0, 3082856.0, 61865, 2279.67 
1360.156102, 394.0, 845329810.0, 9493669.0, 10259945.0, 29844229.0, 3213592112.0, 31698.0, 394.0, 1274354952.0, 446.0, 4510881366.0, 5149545.0, 1423431240.0, 734173816.0, 3015795.0, 49015951.0, 1251733813.0, 720806673.0, 33036045.0, 3089244.0, 57890, 2103.16 
1402.86856, 407.0, 964018012.0, 8664940.0, 9562788.0, 30864942.0, 3149889208.0, 33559.0, 407.0, 1340391911.0, 519.0, 4652895915.0, 4902623.0, 1212708008.0, 676750884.0, 2436894.0, 45663569.0, 1237193385.0, 701770902.0, 29152054.0, 3089326.0, 128348, 1806.11 
1418.206946, 400.0, 933010599.0, 10988903.0, 11558006.0, 31318302.0, 3568822428.0, 33417.0, 400.0, 1330621425.0, 731.0, 5399526261.0, 5514971.0, 1533129765.0, 684690824.0, 2685354.0, 57676082.0, 1432394996.0, 722410271.0, 35137013.0, 3086933.0, 119344, 3189.27 
1426.615494, 467.0, 931879393.0, 10594258.0, 10846013.0, 31911441.0, 3355890383.0, 32830.0, 467.0, 1357987928.0, 735.0, 4779811502.0, 5068089.0, 1436419225.0, 648434963.0, 2910364.0, 45558748.0, 1176958580.0, 682179875.0, 35764533.0, 3072994.0, 69329, 2558.94 
1374.838449, 408.0, 854149289.0, 11840423.0, 11226287.0, 28437129.0, 3215546257.0, 31562.0, 408.0, 1320573382.0, 598.0, 4554427328.0, 5457279.0, 1324965895.0, 623586609.0, 3649984.0, 34976124.0, 1275695716.0, 652877064.0, 27815246.0, 3070049.0, 80400, 1980.51 
1427.186219, 365.0, 921633528.0, 10150497.0, 9817665.0, 28852528.0, 3348370718.0, 33348.0, 365.0, 1381001605.0, 461.0, 4492849726.0, 4989755.0, 1500262851.0, 707490656.0, 2712854.0, 46661544.0, 1315270281.0, 767484447.0, 33616193.0, 3084114.0, 79776, 2237.76 
1447.137049, 469.0, 777743151.0, 9785694.0, 12082755.0, 32878911.0, 3380957080.0, 32049.0, 469.0, 1396239473.0, 662.0, 4688930423.0, 5104573.0, 1326688716.0, 705638410.0, 3113837.0, 39024664.0, 1304519171.0, 703053915.0, 33439928.0, 3085997.0, 108623, 2491.53 
1470.760414, 539.0, 929998630.0, 9359883.0, 10334772.0, 30465397.0, 3224854481.0, 34997.0, 539.0, 1385670505.0, 487.0, 4390176322.0, 5414905.0, 1266372242.0, 702733839.0, 3571795.0, 45033494.0, 1241218757.0, 675189577.0, 29728664.0, 3090760.0, 108622, 2778.66 
1323.195053, 595.0, 931635646.0, 9365792.0, 11372824.0, 33158283.0, 3186282529.0, 30709.0, 595.0, 1270451246.0, 505.0, 3920424340.0, 5783024.0, 1274373046.0, 613345076.0, 2757350.0, 44088125.0, 1193431813.0, 607967029.0, 31594770.0, 3078565.0, 111156, 2457.56 
