task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2199.910444, 644.0, 1362215544.0, 14837240.0, 22550751.0, 48224249.0, 5046598368.0, 79612.0, 644.0, 2157632377.0, 722.0, 7913615248.0, 9983495.0, 2520937305.0, 1180041096.0, 3373580.0, 82732639.0, 2111694027.0, 1128606470.0, 46973943.0, 3382579.0, 158385, 5029.32 
1956.499944, 832.0, 1373235414.0, 13137926.0, 21381255.0, 44849813.0, 4914155267.0, 69349.0, 832.0, 1872906585.0, 1049.0, 6762337554.0, 9783322.0, 1772802280.0, 910931783.0, 3231138.0, 61951564.0, 1766261834.0, 1003566767.0, 45902557.0, 2846833.0, 106331, 5073.18 
2038.835073, 913.0, 1278858563.0, 13879041.0, 18440619.0, 45317338.0, 5166059744.0, 66996.0, 913.0, 1912588534.0, 949.0, 6529694405.0, 8341776.0, 1895380120.0, 1026779519.0, 4904514.0, 64115775.0, 2129039360.0, 1040864746.0, 56353298.0, 3322371.0, 200344, 4920.87 
2246.216162, 689.0, 1409760697.0, 13658032.0, 21896321.0, 51813243.0, 5162443568.0, 74558.0, 689.0, 2158117521.0, 713.0, 6331219058.0, 10252331.0, 1965664261.0, 1015215948.0, 5772887.0, 80595847.0, 2207590873.0, 1087726435.0, 57874750.0, 3333314.0, 150064, 4566.16 
2147.434778, 850.0, 1442569086.0, 18148966.0, 18268449.0, 46025399.0, 5113909589.0, 72388.0, 850.0, 2073304882.0, 899.0, 6917033050.0, 9214005.0, 1837871211.0, 1009185109.0, 6361793.0, 74690605.0, 2238534671.0, 1098304441.0, 52071321.0, 3327277.0, 110317, 4994.86 
2137.33719, 970.0, 1205967702.0, 11156943.0, 21260378.0, 45766625.0, 4751391122.0, 73405.0, 970.0, 1989426110.0, 951.0, 6192932745.0, 9134056.0, 2112991984.0, 958197364.0, 4641704.0, 68695544.0, 2080628334.0, 1114944550.0, 49836352.0, 3288461.0, 100488, 5458.58 
2017.977494, 746.0, 1264897850.0, 14277941.0, 20922123.0, 46935050.0, 4913426899.0, 72920.0, 746.0, 1958792703.0, 861.0, 6613020659.0, 10531691.0, 2116263632.0, 1042939218.0, 3708657.0, 74793021.0, 1871835832.0, 995916522.0, 52827113.0, 3306291.0, 72191, 4654.48 
2038.02264, 618.0, 1285654104.0, 13145934.0, 18714426.0, 48407539.0, 4997708822.0, 70953.0, 618.0, 1942223440.0, 707.0, 6134857377.0, 8901404.0, 1966191504.0, 1084581654.0, 4856088.0, 58388618.0, 2110466438.0, 1034667552.0, 42911579.0, 3307053.0, 194813, 4847.58 
2036.999016, 805.0, 1280380993.0, 12929241.0, 19975643.0, 41152629.0, 5081290648.0, 72188.0, 805.0, 1938198742.0, 916.0, 6847391996.0, 8776449.0, 2044659429.0, 1043604543.0, 4344605.0, 64632848.0, 2065423395.0, 1020510212.0, 56719294.0, 3279032.0, 183231, 5259.63 
1971.148124, 685.0, 1147426502.0, 14349893.0, 21059597.0, 45457527.0, 4695412210.0, 66995.0, 685.0, 1914543002.0, 866.0, 5944336506.0, 8714966.0, 1913564189.0, 944527789.0, 4914914.0, 60572947.0, 1777070802.0, 920613440.0, 53635070.0, 3174319.0, 192242, 4454.73 
1178.058602, 513.0, 641792836.0, 10521359.0, 11249701.0, 22972867.0, 2810227805.0, 37569.0, 513.0, 1020408094.0, 724.0, 3443846318.0, 4569970.0, 935302552.0, 438478763.0, 2333042.0, 32197061.0, 900640543.0, 501857293.0, 37169907.0, 1993338.0, 170635, 1257.4 
1880.637529, 668.0, 1153819192.0, 10524724.0, 15353482.0, 42631595.0, 4759342649.0, 61353.0, 668.0, 1753408466.0, 928.0, 7051681711.0, 7479450.0, 1975742695.0, 912113564.0, 4094248.0, 61049064.0, 1774270962.0, 916808163.0, 53539747.0, 2823898.0, 139051, 4979.54 
1870.980491, 691.0, 1447996802.0, 12042554.0, 19898445.0, 41416620.0, 4459734763.0, 67457.0, 691.0, 1774044923.0, 798.0, 6109138371.0, 8341038.0, 1815047430.0, 900454550.0, 4237394.0, 68352120.0, 1985870401.0, 979416008.0, 38666544.0, 2830858.0, 115839, 4857.02 
2008.885708, 942.0, 1429202697.0, 15240384.0, 14017669.0, 38050320.0, 4720666927.0, 71306.0, 942.0, 1928664535.0, 1025.0, 6263232450.0, 9697034.0, 1873379177.0, 968143700.0, 4259521.0, 72966216.0, 1933733390.0, 1034879578.0, 47891449.0, 3328331.0, 176318, 4983.33 
1980.782814, 804.0, 1226997775.0, 13527169.0, 21451374.0, 42906442.0, 4789132712.0, 69976.0, 804.0, 1906843583.0, 884.0, 6701422072.0, 9451867.0, 1810749647.0, 955001839.0, 4005271.0, 68993862.0, 1959268531.0, 1041666343.0, 45413853.0, 2803177.0, 120581, 5400.01 
2139.939204, 425.0, 1702781265.0, 13411953.0, 18980056.0, 47965441.0, 5211514093.0, 60006.0, 425.0, 2086613556.0, 559.0, 6511287569.0, 9069053.0, 2054787357.0, 1119135979.0, 5241334.0, 76595281.0, 2304027443.0, 1169269350.0, 48142451.0, 3331206.0, 134573, 4954.98 
1846.604861, 672.0, 1279927588.0, 12300001.0, 18276060.0, 35656668.0, 4477241740.0, 66861.0, 672.0, 1795555308.0, 775.0, 6014245590.0, 9212439.0, 1818020529.0, 802497306.0, 2802337.0, 73984960.0, 1838995784.0, 969652224.0, 37944901.0, 2797708.0, 190500, 4823.82 
