task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1068.326298, 361.0, 726699063.0, 7999234.0, 9320537.0, 24563052.0, 2328063577.0, 20641.0, 361.0, 1037140166.0, 423.0, 3163038645.0, 3808281.0, 920180243.0, 403982831.0, 2500901.0, 30842581.0, 829187882.0, 425230154.0, 24317675.0, 2800772.0, 31676, 1614.79 
1049.529379, 234.0, 696290231.0, 7662045.0, 6777864.0, 22072276.0, 2357625478.0, 41253.0, 234.0, 1035976038.0, 495.0, 3265512215.0, 4671551.0, 989523968.0, 474500778.0, 1727579.0, 30824122.0, 813490942.0, 430295357.0, 28876454.0, 2801185.0, 35109, 1590.39 
1049.797816, 251.0, 668822761.0, 7086513.0, 8071195.0, 20012010.0, 2117648767.0, 34696.0, 251.0, 1045633574.0, 373.0, 2984795100.0, 3378603.0, 885813975.0, 431177375.0, 1754934.0, 31548928.0, 1039832376.0, 504088613.0, 23768689.0, 2800799.0, 47204, 1666.38 
1049.642176, 275.0, 669746602.0, 7009704.0, 8548645.0, 20294718.0, 2274194452.0, 29511.0, 275.0, 1026799933.0, 370.0, 3299551037.0, 3713106.0, 906809544.0, 429056661.0, 1952090.0, 26769902.0, 926300919.0, 495222327.0, 21083591.0, 2801194.0, 45984, 1586.41 
1058.385201, 341.0, 707539902.0, 7963002.0, 9897788.0, 24045069.0, 2041273823.0, 21206.0, 341.0, 1007201465.0, 535.0, 2725152280.0, 2978236.0, 965018197.0, 516214354.0, 2321972.0, 35418214.0, 996525815.0, 526925727.0, 27187331.0, 2801183.0, 30072, 1529.44 
1082.705374, 415.0, 616664638.0, 7849980.0, 7339560.0, 21458380.0, 2306770749.0, 31484.0, 415.0, 1048146070.0, 441.0, 3443338197.0, 4139759.0, 934980014.0, 498256600.0, 2039863.0, 30792186.0, 827315724.0, 454021940.0, 30054517.0, 2801654.0, 28598, 1662.64 
1075.578183, 309.0, 794632357.0, 7890991.0, 7634111.0, 24503942.0, 2354989878.0, 34866.0, 309.0, 1052409034.0, 556.0, 3386154968.0, 3653233.0, 844026425.0, 408387345.0, 2340430.0, 32600551.0, 886950395.0, 487846523.0, 24542304.0, 2800584.0, 42645, 1554.88 
1020.326462, 268.0, 521099028.0, 7232273.0, 7843262.0, 17818855.0, 2204521250.0, 29130.0, 268.0, 986229724.0, 382.0, 3284458286.0, 3383683.0, 948221527.0, 494279396.0, 2159900.0, 24880948.0, 910251776.0, 469675356.0, 16504504.0, 2801288.0, 40952, 1557.22 
1054.959163, 274.0, 684465603.0, 7612703.0, 5353589.0, 19387836.0, 2288734951.0, 21409.0, 274.0, 1023347313.0, 423.0, 2908467664.0, 3700522.0, 907354389.0, 535913596.0, 1587737.0, 29123983.0, 888943463.0, 518504532.0, 24137656.0, 2800119.0, 29328, 1581.96 
1058.577545, 254.0, 691830331.0, 8894732.0, 6145270.0, 23836399.0, 2326908765.0, 20906.0, 254.0, 1021343240.0, 415.0, 3030408882.0, 3469140.0, 882762508.0, 401711328.0, 1428743.0, 32077894.0, 752296137.0, 430789653.0, 25161724.0, 2801110.0, 31977, 1609.06 
