task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
969.802221, 255.0, 449397740.0, 8614761.0, 6159897.0, 19396505.0, 2019279632.0, 19295.0, 255.0, 942246948.0, 383.0, 2575058725.0, 3358092.0, 682176690.0, 364980319.0, 1996507.0, 26892619.0, 832360982.0, 470307376.0, 28936304.0, 2077100.0, 50904, 2822.0 
924.158112, 266.0, 492582438.0, 7487810.0, 5967260.0, 21376680.0, 1998856717.0, 17150.0, 266.0, 888063623.0, 440.0, 2721281340.0, 2977836.0, 854064623.0, 366672677.0, 1879670.0, 21459515.0, 790256724.0, 365933117.0, 20207490.0, 2077118.0, 52290, 2960.29 
911.853125, 276.0, 480964433.0, 8065628.0, 6865357.0, 19849053.0, 1975590802.0, 18195.0, 276.0, 876576860.0, 451.0, 2918136067.0, 3188428.0, 806295035.0, 389313313.0, 2268566.0, 21073504.0, 692407794.0, 375660358.0, 24949765.0, 2077090.0, 53007, 3243.26 
1012.415713, 266.0, 500883304.0, 7129360.0, 6238350.0, 22212473.0, 2221826796.0, 18751.0, 266.0, 975549916.0, 415.0, 2852825846.0, 3201080.0, 899056539.0, 407571151.0, 1996729.0, 28368693.0, 695476987.0, 419582722.0, 27012438.0, 2077128.0, 52337, 2775.51 
955.872992, 268.0, 463726598.0, 6877121.0, 6394240.0, 21433722.0, 2085866244.0, 18614.0, 268.0, 923588422.0, 482.0, 2248080676.0, 2770356.0, 780880143.0, 306824316.0, 1756216.0, 21971889.0, 688260219.0, 425021341.0, 25815240.0, 2077075.0, 51397, 2835.7 
914.90911, 271.0, 521119953.0, 5765038.0, 5827395.0, 18550883.0, 1886520376.0, 18479.0, 271.0, 915724691.0, 489.0, 2280199847.0, 3407239.0, 757462044.0, 417737505.0, 2087689.0, 23245457.0, 596887366.0, 337975645.0, 17799616.0, 2120404.0, 51408, 2948.95 
837.848628, 279.0, 455980020.0, 7143954.0, 4905026.0, 17982220.0, 1849063618.0, 15200.0, 279.0, 822192198.0, 503.0, 2567322235.0, 2455624.0, 736079343.0, 411662677.0, 1805134.0, 19762215.0, 676809744.0, 335249057.0, 23260581.0, 2077080.0, 51655, 2925.59 
1078.825663, 269.0, 478439632.0, 7212457.0, 9523415.0, 23862208.0, 2271092486.0, 17821.0, 269.0, 1030582559.0, 561.0, 2712702188.0, 3271059.0, 694878601.0, 420827163.0, 3344750.0, 29228988.0, 735617805.0, 410274704.0, 28583931.0, 2077094.0, 51960, 2868.03 
914.366907, 284.0, 441303743.0, 7118884.0, 5430841.0, 19744065.0, 1979351725.0, 16451.0, 284.0, 890804175.0, 422.0, 2668298567.0, 2556008.0, 762443564.0, 412777971.0, 2431798.0, 25638856.0, 701907544.0, 397297818.0, 22863681.0, 2204611.0, 51924, 2945.91 
1088.095306, 257.0, 541340258.0, 6778110.0, 6083422.0, 21969417.0, 2470203877.0, 19303.0, 257.0, 1070389023.0, 476.0, 2896828952.0, 3646421.0, 815164020.0, 393911368.0, 3431854.0, 25632585.0, 764079161.0, 404255778.0, 21870921.0, 2139498.0, 52635, 2986.37 
1052.492292, 254.0, 504991659.0, 7212326.0, 6049677.0, 21245303.0, 2358673038.0, 19019.0, 254.0, 1011539896.0, 451.0, 2914119952.0, 3213221.0, 793965985.0, 407326019.0, 2138437.0, 25401055.0, 650903890.0, 372797305.0, 27084251.0, 2120692.0, 49846, 2952.28 
873.065178, 239.0, 512073592.0, 6458619.0, 5976321.0, 21247137.0, 1997265648.0, 17157.0, 239.0, 851319177.0, 528.0, 2350673066.0, 3307687.0, 748655297.0, 348502853.0, 1770554.0, 21270729.0, 666872831.0, 347572309.0, 16729273.0, 2077067.0, 51620, 2827.9 
944.808332, 321.0, 490878594.0, 6572406.0, 7417041.0, 21930348.0, 2048952105.0, 18556.0, 321.0, 887410193.0, 571.0, 2509612639.0, 3479850.0, 815549673.0, 362745354.0, 1341210.0, 23437628.0, 623766176.0, 351195227.0, 22910304.0, 2120720.0, 51909, 2719.97 
1027.592595, 380.0, 563080917.0, 9873865.0, 6089735.0, 21600610.0, 2312782662.0, 16980.0, 380.0, 969224066.0, 540.0, 2721628955.0, 3096007.0, 766844017.0, 347801903.0, 1405658.0, 27536473.0, 629763871.0, 353515138.0, 22939326.0, 2120322.0, 51689, 3024.06 
1010.653659, 270.0, 526033610.0, 7332179.0, 5157578.0, 22412576.0, 2145991413.0, 19870.0, 270.0, 964256954.0, 391.0, 2607642498.0, 3127551.0, 753054624.0, 433586034.0, 2090020.0, 28236908.0, 762647264.0, 464468257.0, 26944433.0, 2139499.0, 50505, 2860.43 
962.135037, 330.0, 444536810.0, 6519417.0, 6149986.0, 19070758.0, 1903387977.0, 19045.0, 330.0, 931992306.0, 408.0, 2619489099.0, 3274851.0, 730351861.0, 381934195.0, 1912848.0, 25822867.0, 850676830.0, 438632340.0, 19893068.0, 2077165.0, 54111, 3455.47 
988.696482, 443.0, 490004935.0, 6687209.0, 5735053.0, 19446530.0, 1833684547.0, 17773.0, 443.0, 926929806.0, 548.0, 2347170511.0, 2585148.0, 718509952.0, 434267780.0, 2015962.0, 27348738.0, 874482672.0, 421730453.0, 17368650.0, 2120399.0, 51434, 3041.6 
