task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
929.287934, 250.0, 471830663.0, 8024680.0, 5492495.0, 18617444.0, 1764475494.0, 30461.0, 250.0, 906682379.0, 394.0, 2289748090.0, 3203087.0, 689395932.0, 393934894.0, 1666893.0, 21103257.0, 661772723.0, 390210667.0, 22817236.0, 1374192.0, 12984, 1393.63 
950.840526, 209.0, 489212459.0, 6947500.0, 7024284.0, 17461918.0, 1829419342.0, 27930.0, 209.0, 918506834.0, 364.0, 2637156535.0, 3195407.0, 819294833.0, 371091227.0, 1775071.0, 25103517.0, 778425495.0, 413732162.0, 27502050.0, 2810700.0, 7934, 1568.6 
937.014123, 313.0, 497475816.0, 7381908.0, 7774152.0, 19230837.0, 1726507891.0, 27970.0, 313.0, 893359023.0, 381.0, 2458242394.0, 2986700.0, 755893612.0, 381839785.0, 1673908.0, 26875019.0, 744862086.0, 449882403.0, 20544031.0, 2824404.0, 24225, 1286.29 
1135.767579, 234.0, 514608373.0, 7162189.0, 6632431.0, 21007190.0, 2184102366.0, 32455.0, 234.0, 1122897219.0, 379.0, 2251520869.0, 3809142.0, 766508351.0, 445776351.0, 3568533.0, 36515358.0, 688759936.0, 412568740.0, 21522921.0, 2810720.0, 18423, 1336.23 
1052.764979, 284.0, 493009614.0, 10043485.0, 5320093.0, 22263429.0, 2331342213.0, 30640.0, 284.0, 1030932808.0, 384.0, 2137089548.0, 3198533.0, 666481174.0, 354496940.0, 2987873.0, 38700225.0, 686172840.0, 417094637.0, 23276751.0, 2809022.0, 8524, 1231.29 
867.04591, 258.0, 447794146.0, 6276601.0, 4718300.0, 16282031.0, 1744737704.0, 28189.0, 258.0, 849811582.0, 389.0, 2256387906.0, 2543415.0, 633408944.0, 352102932.0, 1880813.0, 26348755.0, 671678913.0, 396357165.0, 22971213.0, 1374695.0, 8591, 1274.44 
866.883412, 301.0, 460576710.0, 6158909.0, 6645559.0, 16458963.0, 1771728387.0, 25159.0, 301.0, 850759551.0, 451.0, 1982651819.0, 2453711.0, 625925074.0, 320588804.0, 2443211.0, 21398629.0, 559151178.0, 341301989.0, 22486681.0, 1359510.0, 22574, 1258.42 
977.768446, 305.0, 531102768.0, 8214944.0, 5657315.0, 16711880.0, 1773952715.0, 30828.0, 305.0, 947660833.0, 430.0, 2328436387.0, 3006665.0, 749368489.0, 349159264.0, 1806601.0, 22800654.0, 754412783.0, 423278628.0, 22636874.0, 2809716.0, 20785, 1281.6 
946.423295, 241.0, 469940175.0, 7076495.0, 5794994.0, 17809173.0, 1858622024.0, 30209.0, 241.0, 907368703.0, 382.0, 2217808133.0, 3087360.0, 776302807.0, 373042107.0, 1674388.0, 26282087.0, 694698195.0, 369462066.0, 20951056.0, 2824331.0, 11327, 1279.78 
872.751321, 273.0, 490541725.0, 7367683.0, 6892357.0, 20305779.0, 1880219319.0, 31813.0, 273.0, 835048369.0, 357.0, 2328322985.0, 3584916.0, 797483060.0, 413387803.0, 1474769.0, 24962899.0, 721388675.0, 341830561.0, 18927427.0, 2809995.0, 13603, 1268.6 
