task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
659.141372, 250.0, 359065973.0, 4926971.0, 2917120.0, 9233997.0, 1009579983.0, 20469.0, 250.0, 648176803.0, 361.0, 1442930229.0, 1581982.0, 363782389.0, 272744194.0, 1576043.0, 17786084.0, 461245949.0, 289527802.0, 15531162.0, 944673.0, 9419, 562.92 
673.944287, 259.0, 294664811.0, 4978187.0, 3622608.0, 12365321.0, 1271302627.0, 20155.0, 259.0, 636517447.0, 397.0, 1313817238.0, 2010813.0, 465662852.0, 249874605.0, 1283636.0, 16213556.0, 493658467.0, 276026019.0, 17051971.0, 963436.0, 12368, 747.65 
665.321168, 178.0, 291095694.0, 6120800.0, 4317633.0, 13820785.0, 1266910816.0, 13117.0, 178.0, 654036814.0, 331.0, 1540107750.0, 1888751.0, 510692928.0, 218188278.0, 1088260.0, 16864328.0, 454161047.0, 283661497.0, 19463354.0, 962873.0, 18086, 904.46 
622.106701, 231.0, 272567061.0, 5541572.0, 4155769.0, 14013985.0, 1236552711.0, 13604.0, 231.0, 597731740.0, 362.0, 1616651296.0, 1598933.0, 416192741.0, 238038912.0, 1268411.0, 16846160.0, 401258858.0, 244561124.0, 17899129.0, 963417.0, 14182, 635.17 
637.929282, 185.0, 328868531.0, 6585119.0, 5078781.0, 12603131.0, 1124393136.0, 19249.0, 185.0, 620051641.0, 321.0, 1370617510.0, 1690687.0, 421059021.0, 232802004.0, 1378265.0, 16787004.0, 440078668.0, 248441813.0, 11596664.0, 963328.0, 9589, 488.43 
644.028623, 211.0, 360407212.0, 5299283.0, 4371323.0, 13830914.0, 1302837015.0, 19081.0, 211.0, 625418467.0, 404.0, 1438089833.0, 1799720.0, 400773257.0, 241080270.0, 1010521.0, 13505252.0, 410106092.0, 229847798.0, 15191515.0, 963532.0, 11000, 543.4 
625.041343, 239.0, 364503054.0, 5597619.0, 3935420.0, 13432464.0, 1240622663.0, 13220.0, 239.0, 610304652.0, 334.0, 1490665668.0, 2061780.0, 494013078.0, 209243199.0, 993928.0, 13187956.0, 384977504.0, 240001907.0, 12288435.0, 944703.0, 18319, 747.56 
777.29712, 197.0, 321911088.0, 7954465.0, 4486317.0, 14450384.0, 1530823619.0, 13675.0, 197.0, 767626204.0, 328.0, 1714200895.0, 1797316.0, 464962765.0, 269960091.0, 2073653.0, 19835199.0, 457396647.0, 287657301.0, 17290817.0, 967993.0, 15907, 716.13 
819.586932, 313.0, 486797316.0, 7228726.0, 6166143.0, 16769322.0, 1769594201.0, 29958.0, 313.0, 800618502.0, 406.0, 2401720124.0, 2790526.0, 738679204.0, 298671691.0, 1584781.0, 18774259.0, 553739426.0, 313187484.0, 16183991.0, 944518.0, 154106, 8231.38 
635.068853, 200.0, 361732064.0, 6659327.0, 5043031.0, 14329019.0, 1235405197.0, 18802.0, 200.0, 617454228.0, 363.0, 1646341979.0, 1932979.0, 472572840.0, 244892103.0, 1091221.0, 13768082.0, 525759188.0, 259569081.0, 12490271.0, 958372.0, 10589, 509.71 
660.322434, 241.0, 294182079.0, 5559188.0, 4091724.0, 13074621.0, 1280679233.0, 19583.0, 241.0, 637193537.0, 351.0, 1630059906.0, 1656621.0, 503841473.0, 233849923.0, 1260705.0, 15845336.0, 434219914.0, 249252305.0, 16941480.0, 963500.0, 10059, 522.15 
618.480495, 301.0, 265048338.0, 5405376.0, 4492457.0, 14518293.0, 1179932892.0, 12992.0, 301.0, 594540669.0, 373.0, 1209598807.0, 1535815.0, 427020954.0, 238581194.0, 866426.0, 15959709.0, 408364649.0, 229442922.0, 13428118.0, 954016.0, 16441, 681.27 
639.803426, 249.0, 296262738.0, 4621439.0, 3329624.0, 11194255.0, 1206593337.0, 12895.0, 249.0, 610075005.0, 366.0, 1580680404.0, 1743089.0, 485178578.0, 286240755.0, 1352922.0, 14006902.0, 420468736.0, 246186561.0, 13409468.0, 963445.0, 15428, 730.69 
669.76281, 203.0, 307901687.0, 5717409.0, 3975123.0, 11411792.0, 1318586401.0, 12724.0, 203.0, 645073256.0, 341.0, 1833822322.0, 1368440.0, 452479632.0, 237052983.0, 1210785.0, 19131810.0, 435889309.0, 274884930.0, 13778762.0, 963477.0, 12498, 525.41 
719.291146, 272.0, 325965605.0, 5640056.0, 4420929.0, 15616792.0, 1407950787.0, 19237.0, 272.0, 692105310.0, 344.0, 1462305681.0, 1978617.0, 474738751.0, 232672459.0, 1180453.0, 16857457.0, 430291405.0, 282755423.0, 21418213.0, 963448.0, 8928, 492.32 
662.689742, 229.0, 266132447.0, 5185609.0, 4095151.0, 10404550.0, 1133098390.0, 12093.0, 229.0, 635099897.0, 336.0, 1595527074.0, 1633864.0, 463249392.0, 266736802.0, 1329204.0, 16737933.0, 434269600.0, 272688077.0, 14073169.0, 964915.0, 17252, 793.19 
641.355803, 233.0, 298451713.0, 6055293.0, 3474670.0, 12310915.0, 1221316225.0, 13588.0, 233.0, 630973600.0, 416.0, 1643302064.0, 1758940.0, 414834208.0, 261291627.0, 1415443.0, 16164753.0, 478324355.0, 260385442.0, 12783187.0, 951753.0, 15205, 606.51 
702.532944, 235.0, 341857891.0, 6428895.0, 4111703.0, 12932040.0, 1189724456.0, 20898.0, 235.0, 683332301.0, 342.0, 1460718683.0, 1755872.0, 500880319.0, 263401307.0, 1166561.0, 19048287.0, 459395878.0, 290240183.0, 16503114.0, 954045.0, 12646, 793.47 
651.503561, 210.0, 356587229.0, 5109139.0, 6492990.0, 17407718.0, 1231453950.0, 12386.0, 210.0, 636584400.0, 334.0, 1502198587.0, 2122141.0, 588788710.0, 248176024.0, 1496434.0, 17098532.0, 417918040.0, 227570073.0, 10375821.0, 967291.0, 12661, 593.57 
568.196378, 204.0, 272907032.0, 5241235.0, 3234803.0, 11616658.0, 1230728482.0, 11805.0, 204.0, 527353804.0, 303.0, 1573835055.0, 1593770.0, 428706583.0, 236062601.0, 1221775.0, 14809435.0, 441145432.0, 227388085.0, 17411569.0, 898378.0, 13965, 444.88 
625.553373, 215.0, 309364061.0, 7627439.0, 5165247.0, 15460924.0, 1199526338.0, 12273.0, 215.0, 617271508.0, 355.0, 1351996693.0, 1573286.0, 386677463.0, 177834544.0, 1051255.0, 15860945.0, 459878320.0, 226559639.0, 15240583.0, 960187.0, 13345, 560.54 
653.268035, 201.0, 334585500.0, 6372759.0, 4418585.0, 14622237.0, 1384114739.0, 19277.0, 201.0, 631266015.0, 321.0, 1755958495.0, 2103040.0, 494880212.0, 235363922.0, 1145994.0, 12975334.0, 445139702.0, 230184958.0, 15867968.0, 963434.0, 9283, 481.41 
638.176677, 228.0, 316095903.0, 7056547.0, 4136476.0, 12238439.0, 1285569079.0, 12000.0, 228.0, 602196569.0, 338.0, 1614452872.0, 1504432.0, 409180595.0, 242490211.0, 1200360.0, 18478099.0, 479934860.0, 279649386.0, 12286281.0, 961034.0, 16800, 752.57 
636.278618, 183.0, 316831108.0, 6724218.0, 3930908.0, 12864291.0, 1336488391.0, 12609.0, 183.0, 624239966.0, 306.0, 1639366610.0, 1944440.0, 445566284.0, 231555978.0, 1270383.0, 14279140.0, 398650648.0, 236847192.0, 12693141.0, 967234.0, 16282, 801.01 
