task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
774.703057, 224.0, 455158941.0, 7816848.0, 6086578.0, 17639376.0, 1678763634.0, 15571.0, 224.0, 761391683.0, 359.0, 2168540191.0, 2501308.0, 626729020.0, 257341113.0, 1486451.0, 23972244.0, 636898016.0, 335149972.0, 23166713.0, 2228704.0, 23045, 1241.74 
797.222053, 232.0, 393884407.0, 7719963.0, 4723916.0, 13772875.0, 1560822347.0, 15480.0, 232.0, 763954984.0, 374.0, 1938680380.0, 2171125.0, 599530847.0, 329667382.0, 1270900.0, 22019112.0, 573610310.0, 359185005.0, 12599226.0, 2225777.0, 18028, 1085.77 
843.708263, 235.0, 379107547.0, 8530728.0, 4859118.0, 14988709.0, 1534921163.0, 16261.0, 235.0, 822143564.0, 474.0, 2019873539.0, 2091143.0, 593882337.0, 318306916.0, 1783391.0, 23711714.0, 564006770.0, 315340912.0, 17267999.0, 2228505.0, 31257, 1212.72 
883.243329, 257.0, 382881636.0, 8213782.0, 5540170.0, 17726590.0, 1736419851.0, 16730.0, 257.0, 811602678.0, 364.0, 2206601476.0, 2573064.0, 697148664.0, 325034142.0, 1474558.0, 26651500.0, 609944721.0, 356574928.0, 22894699.0, 2282800.0, 22113, 1063.72 
761.033267, 227.0, 417018152.0, 7330188.0, 8365155.0, 19876536.0, 1595664804.0, 15385.0, 227.0, 742998834.0, 383.0, 2006130776.0, 2386893.0, 737600041.0, 331691615.0, 1891466.0, 22650822.0, 614841931.0, 317343034.0, 19083526.0, 2225421.0, 19379, 1221.18 
795.714549, 222.0, 416471369.0, 7136278.0, 4753212.0, 14583109.0, 1601603152.0, 14966.0, 222.0, 772249509.0, 454.0, 2139816182.0, 2536572.0, 610980447.0, 296090959.0, 1812202.0, 21484861.0, 613434497.0, 335064855.0, 23040526.0, 2221804.0, 18301, 1218.56 
748.736798, 345.0, 422654456.0, 7039037.0, 4441080.0, 13258154.0, 1603172778.0, 12985.0, 345.0, 724051605.0, 446.0, 2150617006.0, 2154233.0, 575732136.0, 320213546.0, 1166836.0, 22240639.0, 579922956.0, 333390761.0, 14740698.0, 2137504.0, 24802, 1115.48 
862.076168, 222.0, 462882802.0, 7694240.0, 8482996.0, 19699303.0, 1574739184.0, 19444.0, 222.0, 823727666.0, 375.0, 1819715124.0, 2461574.0, 664879266.0, 315902587.0, 1569612.0, 20364202.0, 602094066.0, 323602996.0, 20865465.0, 2225501.0, 26781, 1223.33 
750.888647, 184.0, 445249734.0, 5804472.0, 5068873.0, 19972543.0, 1642095135.0, 15411.0, 184.0, 733932208.0, 344.0, 1993340916.0, 2424779.0, 634602419.0, 317040565.0, 1499975.0, 14883051.0, 632765049.0, 327592010.0, 17911660.0, 2228538.0, 24431, 1186.66 
783.075755, 228.0, 374038131.0, 8279079.0, 7641880.0, 20293998.0, 1669297407.0, 15566.0, 228.0, 750822914.0, 373.0, 2249320652.0, 2617724.0, 752373524.0, 297774403.0, 1472428.0, 18377232.0, 619480084.0, 311716039.0, 15676340.0, 2225468.0, 21221, 1174.05 
