task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1539.587747, 559.0, 982852694.0, 11221475.0, 14904953.0, 36579833.0, 3708521009.0, 35778.0, 559.0, 1475473983.0, 653.0, 4877115523.0, 6448240.0, 1430853513.0, 644859457.0, 3709063.0, 40643346.0, 1443764396.0, 797859521.0, 37623079.0, 1438214.0, 112217, 2453.32 
1449.259345, 505.0, 950407553.0, 10744286.0, 11904974.0, 32307099.0, 3458352523.0, 34103.0, 505.0, 1367746472.0, 524.0, 4660754582.0, 5094803.0, 1284680784.0, 645781168.0, 3046902.0, 50663362.0, 1234817592.0, 688453207.0, 39961660.0, 1516043.0, 172479, 2548.89 
1862.321868, 606.0, 1165978756.0, 11327976.0, 17416585.0, 42542209.0, 4363426380.0, 43169.0, 606.0, 1789861488.0, 782.0, 6265151024.0, 7490538.0, 1908950097.0, 845049879.0, 3811312.0, 58748099.0, 1885712299.0, 1018085500.0, 37902645.0, 1950713.0, 79002, 3841.07 
1524.626914, 537.0, 932753062.0, 11742875.0, 11724088.0, 31691452.0, 3847685883.0, 34292.0, 537.0, 1433156649.0, 559.0, 4959208545.0, 5719289.0, 1338393669.0, 746575186.0, 4087048.0, 46088634.0, 1333226197.0, 675210323.0, 41873967.0, 1708587.0, 90920, 3555.65 
1578.18704, 386.0, 1144394393.0, 9689001.0, 15354649.0, 35363633.0, 3523620677.0, 45297.0, 386.0, 1522399264.0, 530.0, 4735273452.0, 6456260.0, 1455894022.0, 805379713.0, 3146639.0, 53054636.0, 1427894385.0, 814531405.0, 34046186.0, 1686611.0, 195184, 3449.98 
1501.913686, 378.0, 894765098.0, 11092235.0, 9672496.0, 28664414.0, 3724417706.0, 34195.0, 378.0, 1448299380.0, 488.0, 4918709517.0, 5579947.0, 1538165212.0, 803910301.0, 3813205.0, 42557787.0, 1377626028.0, 723023831.0, 35335613.0, 1699176.0, 166778, 3245.05 
2483.446695, 514.0, 1894204104.0, 15370194.0, 21464452.0, 48196996.0, 6308191492.0, 80047.0, 514.0, 2413633680.0, 655.0, 10005143880.0, 10567268.0, 2725832970.0, 1565030788.0, 4560326.0, 105424307.0, 2905790172.0, 1498232892.0, 52166644.0, 2115839.0, 117070, 15906.99 
1457.244008, 448.0, 1079857568.0, 8736220.0, 11267887.0, 32075894.0, 3162988534.0, 34534.0, 448.0, 1375992694.0, 526.0, 3867663031.0, 6172529.0, 1278387476.0, 719470145.0, 2933316.0, 39983329.0, 1316722956.0, 685456561.0, 35736781.0, 1548745.0, 347981, 4923.35 
1836.023378, 526.0, 1279888945.0, 11201013.0, 12576051.0, 29653642.0, 4271291639.0, 39656.0, 526.0, 1798547221.0, 540.0, 6670527994.0, 5976032.0, 1674345393.0, 883343856.0, 4400575.0, 56481109.0, 1620340281.0, 812579150.0, 41335639.0, 1801285.0, 173415, 4387.49 
1342.721883, 415.0, 795291597.0, 11787350.0, 8558600.0, 27853971.0, 3109331842.0, 31906.0, 415.0, 1296703461.0, 521.0, 4003435031.0, 5153556.0, 1514961373.0, 680448693.0, 3909679.0, 44399718.0, 1180392769.0, 650652021.0, 34624374.0, 1588608.0, 68276, 2285.97 
