task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
785.679064, 274.0, 402754554.0, 5207471.0, 5578865.0, 15047115.0, 1379507771.0, 21054.0, 274.0, 771855730.0, 543.0, 1693577149.0, 2729486.0, 633544303.0, 282337770.0, 1216211.0, 20633660.0, 580608697.0, 317311740.0, 19007017.0, 1117159.0, 6716, 2560.95 
727.039967, 198.0, 352017672.0, 5807554.0, 4018630.0, 14402334.0, 1379938831.0, 17900.0, 198.0, 705172004.0, 414.0, 1725884032.0, 2290547.0, 530512287.0, 236474440.0, 1379682.0, 16385737.0, 502746782.0, 299667452.0, 15758767.0, 854836.0, 32543, 2416.8 
707.18588, 227.0, 372986507.0, 8355160.0, 5830104.0, 16876118.0, 1432357552.0, 16288.0, 227.0, 676483304.0, 433.0, 1585297542.0, 2234823.0, 452864584.0, 223450118.0, 1023863.0, 15770920.0, 541540424.0, 240534965.0, 15503877.0, 971524.0, 24918, 2419.78 
733.74308, 220.0, 397656309.0, 7229311.0, 4475301.0, 14385831.0, 1342211634.0, 14284.0, 220.0, 711338758.0, 359.0, 1586280722.0, 1757014.0, 497617766.0, 262679353.0, 1334027.0, 21964213.0, 457425411.0, 289416641.0, 21933376.0, 857375.0, 13152, 2630.71 
862.611765, 264.0, 421713559.0, 6875418.0, 6018926.0, 18566179.0, 1788778348.0, 16113.0, 264.0, 837071530.0, 868.0, 2315568926.0, 2773955.0, 752219740.0, 312563909.0, 1835804.0, 30764302.0, 560237992.0, 310771270.0, 24452970.0, 1409399.0, 13273, 3549.41 
689.39883, 169.0, 342687017.0, 7379352.0, 4571164.0, 15138113.0, 1451029093.0, 18364.0, 169.0, 661803237.0, 358.0, 1787273161.0, 1976514.0, 533080880.0, 285907002.0, 1238240.0, 18081271.0, 471496860.0, 278497111.0, 21809912.0, 855380.0, 31436, 2474.65 
937.615148, 212.0, 408474812.0, 6510889.0, 4715034.0, 16658090.0, 1645472921.0, 23696.0, 212.0, 902590375.0, 333.0, 2147874634.0, 2970311.0, 579623414.0, 299280769.0, 1320195.0, 19789336.0, 592834328.0, 320825061.0, 19134391.0, 1409042.0, 29557, 3005.17 
864.490227, 242.0, 417501138.0, 9309139.0, 5226366.0, 16904491.0, 1689715753.0, 14373.0, 242.0, 813738933.0, 487.0, 1957537519.0, 2254759.0, 656080198.0, 298464068.0, 1657224.0, 24295092.0, 629785140.0, 369456249.0, 22275951.0, 1411472.0, 17815, 2476.52 
797.400716, 218.0, 366543568.0, 7462047.0, 6546162.0, 18258364.0, 1441765811.0, 16964.0, 218.0, 784397631.0, 567.0, 1640330745.0, 3122115.0, 640734682.0, 337968822.0, 1477053.0, 24123443.0, 565838193.0, 341605235.0, 26954230.0, 854307.0, 21161, 2556.91 
772.298699, 221.0, 331517568.0, 6778724.0, 4459900.0, 13865079.0, 1466765441.0, 13209.0, 221.0, 745112391.0, 459.0, 1797963553.0, 1850797.0, 551893863.0, 249585091.0, 1994957.0, 16045721.0, 500540104.0, 295551276.0, 23875061.0, 873746.0, 19501, 2510.17 
710.877295, 182.0, 285927181.0, 6756173.0, 4346712.0, 13940468.0, 1328025056.0, 18968.0, 182.0, 699280108.0, 331.0, 1626553633.0, 2086602.0, 504742976.0, 260146483.0, 1071459.0, 16833642.0, 469943712.0, 300902564.0, 18968297.0, 858317.0, 26213, 2601.6 
897.350275, 246.0, 403686802.0, 7670793.0, 7020346.0, 19035288.0, 1664261631.0, 26044.0, 246.0, 869266182.0, 480.0, 1944944108.0, 2742754.0, 683650023.0, 355193720.0, 1432804.0, 19065898.0, 611198761.0, 288334795.0, 21488980.0, 1340950.0, 24904, 2222.67 
804.445918, 225.0, 406066400.0, 8251875.0, 6201532.0, 18276702.0, 1395614248.0, 14810.0, 225.0, 804543471.0, 525.0, 1683524317.0, 2352938.0, 453457220.0, 276294602.0, 1285166.0, 21797093.0, 599322827.0, 383155836.0, 15308717.0, 867982.0, 19972, 2210.12 
719.716013, 263.0, 335527174.0, 7066024.0, 6482197.0, 16088168.0, 1489134384.0, 14381.0, 263.0, 680454435.0, 446.0, 1815249810.0, 2136941.0, 539281928.0, 242758982.0, 939787.0, 18836349.0, 488377491.0, 279553841.0, 20095821.0, 854945.0, 18474, 2328.74 
