task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
780.209372, 262.0, 387635718.0, 7265976.0, 7479638.0, 19685779.0, 1714971065.0, 18108.0, 262.0, 750286639.0, 409.0, 1912923179.0, 2300867.0, 705278772.0, 297208110.0, 1544703.0, 18666393.0, 605718683.0, 319260936.0, 24309354.0, 1540623.0, 18880, 1133.09 
723.400947, 235.0, 398061952.0, 5597685.0, 4994011.0, 16052147.0, 1568798365.0, 16788.0, 235.0, 700885143.0, 375.0, 1746297546.0, 2179174.0, 515177166.0, 304278271.0, 1412448.0, 17157769.0, 570536151.0, 310134510.0, 22768762.0, 1563747.0, 22535, 1974.2 
788.525729, 288.0, 386664930.0, 7476324.0, 7930909.0, 19014128.0, 1565578893.0, 13578.0, 288.0, 771587192.0, 397.0, 1956523416.0, 2129193.0, 715829139.0, 307772904.0, 1725741.0, 22202599.0, 582223290.0, 332728022.0, 23092823.0, 1568376.0, 10250, 1027.82 
788.420363, 283.0, 408393811.0, 8332926.0, 4816798.0, 18002238.0, 1756675821.0, 13737.0, 283.0, 789543358.0, 498.0, 1828796418.0, 2425918.0, 595539203.0, 293127746.0, 1722626.0, 18636557.0, 598210260.0, 278471354.0, 21451920.0, 1566330.0, 13323, 2088.81 
796.387767, 316.0, 472052307.0, 7674274.0, 5867641.0, 16207274.0, 1460886491.0, 23885.0, 316.0, 785488640.0, 487.0, 1663978436.0, 2122866.0, 614312669.0, 284268090.0, 1816663.0, 19470370.0, 584981318.0, 341600466.0, 20693038.0, 1563300.0, 25702, 1075.16 
797.148661, 237.0, 401945815.0, 7496595.0, 5797272.0, 16446685.0, 1601815040.0, 16983.0, 237.0, 779612406.0, 408.0, 1651101555.0, 2056070.0, 618169344.0, 258584375.0, 1629901.0, 17626396.0, 592116106.0, 330880056.0, 23218570.0, 1532791.0, 18332, 1772.92 
852.77205, 306.0, 395506493.0, 6513719.0, 3772349.0, 16426395.0, 1619206250.0, 13568.0, 306.0, 814422810.0, 399.0, 1839975468.0, 2225426.0, 533317005.0, 284183961.0, 2041836.0, 20502711.0, 614035808.0, 304599155.0, 19126310.0, 1568566.0, 12022, 1041.49 
827.185089, 254.0, 371725898.0, 7447263.0, 4892618.0, 17481241.0, 1656537916.0, 15437.0, 254.0, 815275992.0, 461.0, 2003731386.0, 2717752.0, 601256346.0, 367656470.0, 1515935.0, 21258091.0, 697341095.0, 317645322.0, 18477283.0, 1559131.0, 18694, 1070.6 
782.514695, 193.0, 414072322.0, 7760572.0, 5921460.0, 17708988.0, 1643519836.0, 14512.0, 193.0, 755604664.0, 340.0, 2026482324.0, 2031260.0, 686184819.0, 271008134.0, 1900829.0, 22094825.0, 521784262.0, 313441917.0, 25435387.0, 1563366.0, 13803, 1051.57 
769.450298, 246.0, 406050024.0, 5288945.0, 3558587.0, 13737424.0, 1542084454.0, 14173.0, 246.0, 758109534.0, 425.0, 1892432886.0, 2529707.0, 606490799.0, 344786884.0, 1344756.0, 21987884.0, 620913978.0, 331381664.0, 14303578.0, 1563301.0, 9417, 1055.38 
781.421791, 289.0, 409723900.0, 7795917.0, 5130159.0, 17638692.0, 1745433073.0, 14613.0, 289.0, 748773088.0, 453.0, 1841310091.0, 2473420.0, 648785878.0, 298437687.0, 1860019.0, 18368635.0, 664060047.0, 316641422.0, 21143247.0, 1568384.0, 16429, 1096.62 
765.463578, 263.0, 458847175.0, 6629962.0, 5684520.0, 16020622.0, 1598430764.0, 15505.0, 263.0, 739364938.0, 377.0, 1904618270.0, 2505550.0, 634591343.0, 300957490.0, 1539233.0, 17981978.0, 634248016.0, 339663632.0, 18679633.0, 1568304.0, 20883, 1045.53 
773.25416, 320.0, 368711435.0, 6403637.0, 7084318.0, 16936504.0, 1508635772.0, 14523.0, 320.0, 761541620.0, 495.0, 1955985782.0, 2142450.0, 688202179.0, 276907160.0, 1767172.0, 20709681.0, 571832129.0, 340187416.0, 20728185.0, 1568440.0, 15029, 1035.26 
786.307253, 265.0, 385027790.0, 6044307.0, 4451798.0, 15463722.0, 1655769418.0, 23559.0, 265.0, 755488566.0, 382.0, 2185279248.0, 2705568.0, 678493303.0, 327024816.0, 1364422.0, 20396589.0, 531643831.0, 267199886.0, 15471692.0, 1563300.0, 22520, 1021.1 
772.613125, 302.0, 454354664.0, 7759446.0, 5541563.0, 17866708.0, 1415665469.0, 15545.0, 302.0, 741666218.0, 440.0, 1692271379.0, 2063092.0, 533699417.0, 252085904.0, 1789317.0, 18768063.0, 594530839.0, 334098825.0, 20639342.0, 1563305.0, 22289, 1748.22 
733.149769, 255.0, 439941482.0, 6134630.0, 5252450.0, 15943072.0, 1632899436.0, 14335.0, 255.0, 701272752.0, 358.0, 1833406424.0, 2628033.0, 524980446.0, 268100745.0, 1212040.0, 17626766.0, 563639335.0, 274353183.0, 21881817.0, 1563304.0, 17933, 1962.01 
757.265932, 287.0, 409288034.0, 7103682.0, 5817381.0, 14146598.0, 1499285232.0, 13401.0, 287.0, 696212077.0, 398.0, 2011414462.0, 2388836.0, 601723529.0, 324293598.0, 1488326.0, 18817497.0, 542093983.0, 303626499.0, 16906924.0, 1563442.0, 16119, 2095.15 
838.876452, 259.0, 419296360.0, 8627386.0, 3931765.0, 16428836.0, 1849247062.0, 14090.0, 259.0, 799397233.0, 366.0, 2125634775.0, 2429569.0, 658840721.0, 332308860.0, 1699558.0, 24524506.0, 522132093.0, 279289865.0, 19685437.0, 1568723.0, 14630, 1030.02 
770.874848, 233.0, 335390406.0, 6355255.0, 6238224.0, 17023359.0, 1572537707.0, 14141.0, 233.0, 755660826.0, 474.0, 1878107973.0, 2246668.0, 662668504.0, 298441960.0, 1475498.0, 20962123.0, 575291501.0, 355639345.0, 17497475.0, 1568440.0, 12710, 857.55 
831.477819, 254.0, 415246795.0, 7819936.0, 4616382.0, 15437230.0, 1525209970.0, 22343.0, 254.0, 829544883.0, 506.0, 1959184584.0, 2541340.0, 572372930.0, 309039280.0, 1459877.0, 22306609.0, 554316242.0, 299682046.0, 19110806.0, 1562686.0, 23688, 2079.45 
795.283262, 313.0, 389029623.0, 6087049.0, 5047673.0, 16329844.0, 1579877610.0, 16248.0, 313.0, 740497580.0, 399.0, 1694700010.0, 2117365.0, 638934062.0, 286085167.0, 1585673.0, 19489526.0, 633831469.0, 354781840.0, 20196545.0, 1566296.0, 22460, 1161.28 
