task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
619.479654, 169.0, 302445029.0, 5874363.0, 4466171.0, 14021053.0, 1145981845.0, 11927.0, 169.0, 618442985.0, 392.0, 1329729119.0, 1765704.0, 450060755.0, 214418061.0, 1087371.0, 15885966.0, 381487569.0, 243379959.0, 14324505.0, 739144.0, 8490, 1046.28 
642.287699, 202.0, 308862807.0, 5154133.0, 3948803.0, 14808656.0, 1287118924.0, 12262.0, 202.0, 634720381.0, 322.0, 1452920920.0, 1867779.0, 456343405.0, 252383574.0, 1179157.0, 11984807.0, 392026101.0, 233012518.0, 15560977.0, 739888.0, 5620, 1017.93 
639.627989, 195.0, 267777282.0, 5331271.0, 4290956.0, 11397461.0, 1037056553.0, 12233.0, 195.0, 627487170.0, 309.0, 1329124783.0, 1637441.0, 405191127.0, 206076264.0, 1468384.0, 17955781.0, 430331192.0, 244364960.0, 14914865.0, 739887.0, 7635, 851.09 
621.042938, 169.0, 270820993.0, 4795328.0, 3278875.0, 12232682.0, 1095024688.0, 12318.0, 169.0, 610596722.0, 321.0, 1200707209.0, 1449498.0, 442157499.0, 212500137.0, 1484282.0, 12257394.0, 372451611.0, 193276256.0, 15313164.0, 739295.0, 5507, 988.68 
623.228202, 195.0, 248992952.0, 6465267.0, 3138785.0, 12210770.0, 1174232443.0, 12735.0, 195.0, 604154866.0, 310.0, 1404983286.0, 1625328.0, 428744684.0, 242553907.0, 971876.0, 14973608.0, 398663193.0, 213765761.0, 14512536.0, 739888.0, 5910, 1031.64 
619.967752, 180.0, 300802258.0, 5589942.0, 3791185.0, 12563449.0, 1177804531.0, 11873.0, 180.0, 624630140.0, 368.0, 1380562011.0, 1805046.0, 449873469.0, 266494037.0, 1115879.0, 12890403.0, 450059334.0, 268021995.0, 12167881.0, 739888.0, 7568, 1070.78 
607.82551, 205.0, 284204940.0, 5618347.0, 3003404.0, 11701284.0, 1039325612.0, 12270.0, 205.0, 583059800.0, 327.0, 1248702399.0, 1641714.0, 449895689.0, 221204708.0, 867903.0, 14172428.0, 401846810.0, 245616962.0, 11589484.0, 740093.0, 5143, 768.47 
604.493936, 187.0, 270135125.0, 4621695.0, 3379046.0, 13576872.0, 989636505.0, 11912.0, 187.0, 588568507.0, 308.0, 1194479796.0, 1622061.0, 443760292.0, 196205629.0, 1138279.0, 14499452.0, 419430928.0, 252464658.0, 17885027.0, 744320.0, 5210, 853.37 
604.680821, 203.0, 286922488.0, 7157722.0, 4767612.0, 13467978.0, 1124398254.0, 11281.0, 203.0, 594431785.0, 335.0, 1203297721.0, 1443960.0, 375423606.0, 204989908.0, 1023860.0, 17081570.0, 401496473.0, 229760140.0, 18091395.0, 739142.0, 7267, 1042.56 
632.289055, 182.0, 275861704.0, 5348637.0, 3690944.0, 13688851.0, 1293329168.0, 12660.0, 182.0, 633694670.0, 408.0, 1562240778.0, 2027794.0, 428031740.0, 213571181.0, 1087461.0, 12688432.0, 408358147.0, 241284559.0, 15691981.0, 739144.0, 5921, 1028.24 
