task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1162.613761, 534.0, 670015558.0, 9567428.0, 9261153.0, 25673094.0, 2472053189.0, 39464.0, 534.0, 1100964027.0, 500.0, 3463854962.0, 4804133.0, 1077646887.0, 451275986.0, 2158410.0, 35706134.0, 1028284994.0, 616330712.0, 28310853.0, 2703937.0, 42886, 1445.23 
1198.066317, 433.0, 677863999.0, 7509172.0, 8792875.0, 22223328.0, 2394396593.0, 40207.0, 433.0, 1146150046.0, 516.0, 3397893182.0, 5276904.0, 983229932.0, 557445430.0, 2649122.0, 38615476.0, 1047263074.0, 553724892.0, 25312820.0, 2771737.0, 24448, 1309.18 
1162.802733, 310.0, 599047945.0, 10526416.0, 7148281.0, 21536602.0, 2429853900.0, 27761.0, 310.0, 1130633531.0, 502.0, 3633278521.0, 4130548.0, 1126578353.0, 483000686.0, 1825346.0, 35322447.0, 973331816.0, 485271996.0, 29164201.0, 2625777.0, 58362, 1406.91 
1089.825332, 388.0, 674513077.0, 7902874.0, 7864355.0, 24089307.0, 2439425360.0, 23059.0, 388.0, 1059437355.0, 487.0, 3398731796.0, 3856613.0, 1051751516.0, 487832007.0, 1965530.0, 31561126.0, 880756067.0, 522173725.0, 30151861.0, 2567083.0, 43400, 1293.18 
1069.224089, 382.0, 753916880.0, 7327199.0, 8479454.0, 23301489.0, 2451967469.0, 38945.0, 382.0, 1018645403.0, 489.0, 3287440483.0, 4621358.0, 1069571207.0, 498464184.0, 1991194.0, 35247150.0, 863075288.0, 440301878.0, 30351423.0, 2578602.0, 26455, 1994.68 
1091.046453, 288.0, 649318790.0, 7846615.0, 8103291.0, 24886632.0, 2406812401.0, 38641.0, 288.0, 1050555228.0, 439.0, 3408497035.0, 4651013.0, 1058460820.0, 548534418.0, 2287518.0, 35834137.0, 1004438922.0, 498040788.0, 32360203.0, 2568547.0, 25263, 1379.77 
1114.687833, 381.0, 650054345.0, 8403937.0, 7616127.0, 25889972.0, 2591316895.0, 25089.0, 381.0, 1070261371.0, 445.0, 3733521225.0, 3681354.0, 1004829481.0, 500168721.0, 2006950.0, 35565300.0, 903370250.0, 517950550.0, 34391001.0, 2435765.0, 56769, 1276.67 
1165.103881, 446.0, 639267891.0, 8627051.0, 6141881.0, 23693845.0, 2359353139.0, 25138.0, 446.0, 1116104086.0, 596.0, 3142524704.0, 3953181.0, 1008798128.0, 488258198.0, 2267294.0, 28654638.0, 1013660260.0, 557825189.0, 26595275.0, 2774803.0, 55688, 1327.32 
1068.810206, 391.0, 747914219.0, 8087891.0, 8626064.0, 21274141.0, 2184008476.0, 38510.0, 391.0, 1035017733.0, 517.0, 2817065183.0, 4491897.0, 916731538.0, 458429536.0, 1572633.0, 35296260.0, 1034916050.0, 500992923.0, 25116668.0, 2654010.0, 29581, 1510.36 
1117.560256, 389.0, 657936872.0, 8711613.0, 7995030.0, 26552969.0, 2316740917.0, 34252.0, 389.0, 1075837232.0, 602.0, 2969874419.0, 4309863.0, 981676003.0, 512370609.0, 2822862.0, 30960076.0, 1041197248.0, 583850074.0, 27710824.0, 2555925.0, 37384, 1549.97 
